date,new_cases,cumulative_cases
2020/1/25,1,1
2020/1/26,0,1
2020/1/27,1,2
2020/1/28,1,3
2020/1/29,0,3
2020/1/30,0,3
2020/1/31,1,4
2020/2/1,0,4
2020/2/2,0,4
2020/2/3,0,4
2020/2/4,1,5
2020/2/5,0,5
2020/2/6,2,7
2020/2/7,0,7
2020/2/8,0,7
2020/2/9,0,7
2020/2/10,0,7
2020/2/11,0,7
2020/2/12,0,7
2020/2/13,0,7
2020/2/14,1,8
2020/2/15,0,8
2020/2/16,0,8
2020/2/17,0,8
2020/2/18,0,8
2020/2/19,0,8
2020/2/20,1,9
2020/2/21,0,9
2020/2/22,0,9
2020/2/23,1,10
2020/2/24,1,11
2020/2/25,0,11
2020/2/26,1,12
2020/2/27,2,14
2020/2/28,2,16
2020/2/29,4,20
2020/3/1,4,24
2020/3/2,0,24
2020/3/3,9,33
2020/3/4,1,34
2020/3/5,12,46
2020/3/6,8,54
2020/3/7,6,60
2020/3/8,7,67
2020/3/9,19,86
2020/3/10,9,95
2020/3/11,21,116
2020/3/12,40,156
2020/3/13,42,198
2020/3/14,59,257
2020/3/15,84,341
2020/3/16,100,441
2020/3/17,156,597
2020/3/18,130,727
2020/3/19,146,873
2020/3/20,214,1087
2020/3/21,244,1331
2020/3/22,140,1471
2020/3/23,620,2091
2020/3/24,728,2819
2020/3/25,589,3408
2020/3/26,634,4042
2020/3/27,714,4756
2020/3/28,898,5654
2020/3/29,665,6319
2020/3/30,1127,7446
2020/3/31,1143,8589
2020/4/1,1599,10188
2020/4/2,1587,11775
2020/4/3,1202,12977
2020/4/4,1429,14406
2020/4/5,1506,15912
2020/4/6,1250,17162
2020/4/7,1397,18559
2020/4/8,1291,19850
2020/4/9,1550,21400
2020/4/10,1312,22712
2020/4/11,1247,23959
2020/4/12,1098,25057
2020/4/13,1368,26425
2020/4/14,1460,27885
2020/4/15,1346,29231
2020/4/16,1732,30963
2020/4/17,1883,32846
2020/4/18,1530,34376
2020/4/19,1634,36010
2020/4/20,1842,37852
2020/4/21,1531,39383
2020/4/22,1970,41353
2020/4/23,1863,43216
2020/4/24,1624,44840
2020/4/25,1419,46259
2020/4/26,1587,47846
2020/4/27,1632,49478
2020/4/28,1466,50944
2020/4/29,1693,52637
2020/4/30,1573,54210
2020/5/1,1956,56166
2020/5/2,1578,57744
2020/5/3,2560,60304
2020/5/4,1482,61786
2020/5/5,1268,63054
2020/5/6,1487,64541
2020/5/7,1510,66051
2020/5/8,1468,67519
2020/5/9,1242,68761
2020/5/10,1167,69928
2020/5/11,1187,71115
2020/5/12,1158,72273
2020/5/13,1150,73423
2020/5/14,1223,74646
2020/5/15,1178,75824
2020/5/16,1233,77057
2020/5/17,1126,78183
2020/5/18,1076,79259
2020/5/19,1115,80374
2020/5/20,1079,81453
2020/5/21,1173,82626
2020/5/22,1210,83836
2020/5/23,1200,85036
2020/5/24,956,85992
2020/5/25,1027,87019
2020/5/26,976,87995
2020/5/27,894,88889
2020/5/28,994,89883
2020/5/29,932,90815
2020/5/30,777,91592
2020/5/31,805,92397
2020/6/1,818,93215
2020/6/2,670,93885
2020/6/3,689,94574
2020/6/4,625,95199
2020/6/5,682,95881
2020/6/6,519,96400
2020/6/7,700,97100
2020/6/8,615,97715
2020/6/9,459,98174
2020/6/10,481,98655
2020/6/11,439,99094
2020/6/12,444,99538
2020/6/13,447,99985
2020/6/14,355,100340
2020/6/15,377,100717
2020/6/16,332,101049
2020/6/17,391,101440
2020/6/18,380,101820
2020/6/19,440,102260
2020/6/20,366,102626
2020/6/21,298,102924
2020/6/22,358,103282
2020/6/23,357,103639
2020/6/24,318,103957
2020/6/25,369,104326
2020/6/26,176,104502
2020/6/27,243,104745
2020/6/28,292,105037
2020/6/29,647,105684
2020/6/30,279,105963
2020/7/1,191,106154
2020/7/2,357,106511
2020/7/3,325,106836
2020/7/4,221,107057
2020/7/5,205,107262
2020/7/6,429,107691
2020/7/7,204,107895
2020/7/8,313,108208
2020/7/9,322,108530
2020/7/10,324,108854
2020/7/11,173,109027
2020/7/12,201,109228
2020/7/13,680,109908
2020/7/14,303,110211
2020/7/15,343,110554
2020/7/16,447,111001
2020/7/17,436,111437
2020/7/18,363,111800
2020/7/19,319,112119
2020/7/20,809,112928
2020/7/21,560,113488
2020/7/22,514,114002
2020/7/23,470,114472
2020/7/24,547,115019
2020/7/25,336,115355
2020/7/26,316,115671
2020/7/27,723,116394
2020/7/28,409,116803
2020/7/29,496,117299
2020/7/30,342,117641
2020/7/31,499,118140
2020/8/1,270,118410
2020/8/2,225,118635
2020/8/3,211,118846
2020/8/4,735,119581
2020/8/5,384,119965
2020/8/6,365,120330
2020/8/7,426,120756
2020/8/8,242,120998
2020/8/9,212,121210
2020/8/10,699,121909
2020/8/11,346,122255
2020/8/12,402,122657
2020/8/13,392,123049
2020/8/14,420,123469
2020/8/15,210,123679
2020/8/16,168,123847
2020/8/17,738,124585
2020/8/18,357,124942
2020/8/19,325,125267
2020/8/20,404,125671
2020/8/21,509,126180
2020/8/22,228,126408
2020/8/23,243,126651
2020/8/24,805,127456
2020/8/25,309,127765
2020/8/26,485,128250
2020/8/27,452,128702
2020/8/28,504,129206
2020/8/29,281,129487
2020/8/30,242,129729
2020/8/31,1051,130780
2020/9/1,500,131280
2020/9/2,505,131785
2020/9/3,587,132372
2020/9/4,610,132982
2020/9/5,359,133341
2020/9/6,367,133708
2020/9/7,431,134139
2020/9/8,1472,135611
2020/9/9,581,136192
