date,new_cases,cumulative_cases
2020/1/26,4,4
2020/1/27,5,1
2020/1/28,5,0
2020/1/29,6,1
2020/1/30,9,3
2020/1/31,9,0
2020/2/1,12,3
2020/2/2,12,0
2020/2/3,12,0
2020/2/4,13,1
2020/2/5,13,0
2020/2/6,14,1
2020/2/7,15,1
2020/2/8,15,0
2020/2/9,15,0
2020/2/10,15,0
2020/2/11,15,0
2020/2/12,15,0
2020/2/13,15,0
2020/2/14,15,0
2020/2/15,15,0
2020/2/16,15,0
2020/2/17,15,0
2020/2/18,15,0
2020/2/19,15,0
2020/2/20,15,0
2020/2/21,15,0
2020/2/22,15,0
2020/2/23,15,0
2020/2/24,15,0
2020/2/25,15,0
2020/2/26,15,0
2020/2/27,15,0
2020/2/28,15,0
2020/2/29,25,10
2020/3/1,27,2
2020/3/2,30,3
2020/3/3,39,9
2020/3/4,52,13
2020/3/5,55,3
2020/3/6,60,5
2020/3/7,63,3
2020/3/8,76,13
2020/3/9,91,15
2020/3/10,107,16
2020/3/11,128,21
2020/3/12,128,0
2020/3/13,200,72
2020/3/14,250,50
2020/3/15,297,47
2020/3/16,377,80
2020/3/17,452,75
2020/3/18,568,116
2020/3/19,681,113
2020/3/20,791,110
2020/3/21,1071,280
2020/3/22,1549,478
2020/3/23,1682,133
2020/3/24,2044,362
2020/3/25,2364,320
2020/3/26,2810,446
2020/3/27,3143,333
2020/3/28,3640,497
2020/3/29,3984,344
2020/3/30,4361,377
2020/3/31,4559,198
2020/4/1,4862,303
2020/4/2,5116,254
2020/4/3,5330,214
2020/4/4,5550,220
2020/4/5,5687,137
2020/4/6,5797,110
2020/4/7,5895,98
2020/4/8,6010,115
2020/4/9,6108,98
2020/4/10,6215,107
2020/4/11,6303,88
2020/4/12,6315,12
2020/4/13,6351,36
2020/4/14,6415,64
2020/4/15,6440,25
2020/4/16,6462,22
2020/4/17,6522,60
2020/4/18,6568,46
2020/4/19,6610,42
2020/4/20,6623,13
2020/4/21,6645,22
2020/4/22,6652,7
2020/4/23,6662,10
2020/4/24,6677,15
2020/4/25,6694,17
2020/4/26,6714,20
2020/4/27,6721,7
2020/4/28,6744,23
2020/4/29,6752,8
2020/4/30,6766,14
2020/5/1,6778,12
2020/5/2,6799,21
2020/5/3,6822,23
2020/5/4,6847,25
2020/5/5,6875,28
2020/5/6,6894,19
2020/5/7,6913,19
2020/5/8,6918,5
2020/5/9,6939,21
2020/5/10,6948,9
2020/5/11,6970,22
2020/5/12,6980,10
2020/5/13,6989,9
2020/5/14,7019,30
2020/5/15,7035,16
2020/5/16,7044,9
2020/5/17,7054,10
2020/5/18,7068,14
2020/5/19,7072,4
2020/5/20,7081,9
2020/5/21,7095,14
2020/5/22,7099,4
2020/5/23,7114,15
2020/5/24,7114,0
2020/5/25,7126,12
2020/5/26,7139,13
2020/5/27,7150,11
2020/5/28,7165,15
2020/5/29,7184,19
2020/5/30,7192,8
2020/5/31,7202,10
2020/6/1,7221,19
2020/6/2,7229,8
2020/6/3,7240,11
2020/6/4,7247,7
2020/6/5,7252,5
2020/6/6,7259,7
2020/6/7,7265,6
2020/6/8,7267,2
2020/6/9,7274,7
2020/6/10,7285,11
2020/6/11,7289,4
2020/6/12,7294,5
2020/6/13,7320,26
2020/6/14,7335,15
2020/6/15,7347,12
2020/6/16,7370,23
2020/6/17,7391,21
2020/6/18,7409,18
2020/6/19,7411,2
2020/6/20,7461,50
2020/6/21,7474,13
2020/6/22,7492,18
2020/6/23,7521,29
2020/6/24,7558,37
2020/6/25,7595,37
2020/6/26,7601,6
2020/6/27,7686,85
2020/6/28,7764,78
2020/6/29,7834,70
2020/6/30,7920,86
2020/7/1,8001,81
2020/7/2,8066,65
2020/7/3,8260,194
2020/7/4,8443,183
2020/7/5,8583,140
2020/7/6,8755,172
2020/7/7,8886,131
2020/7/8,9056,170
2020/7/9,9374,318
2020/7/10,9553,179
2020/7/11,9797,244
2020/7/12,9980,183
2020/7/13,10251,271
2020/7/14,10487,236
2020/7/15,10810,323
2020/7/16,11233,423
2020/7/17,11441,208
2020/7/18,11802,361
2020/7/19,12069,267
2020/7/20,12428,359
2020/7/21,12894,466
2020/7/22,13302,408
2020/7/23,13595,293
2020/7/24,13950,355
2020/7/25,14403,453
2020/7/26,14935,532
2020/7/27,15303,368
2020/7/28,15582,279
2020/7/29,16298,716
2020/7/30,16903,605
2020/7/31,17280,377
2020/8/1,17895,615
2020/8/2,18318,423
2020/8/3,18730,412
2020/8/4,19445,715
2020/8/5,19890,445
2020/8/6,20272,382
2020/8/7,20698,426
2020/8/8,21084,386
2020/8/9,21397,313
2020/8/10,21713,316
2020/8/11,22127,414
2020/8/12,22358,231
2020/8/13,22742,384
2020/8/14,23035,293
2020/8/15,23287,252
2020/8/16,23558,271
2020/8/17,23773,215
2020/8/18,23989,216
2020/8/19,24236,247
2020/8/20,24407,171
2020/8/21,24602,195
2020/8/22,24811,209
2020/8/23,24915,104
2020/8/24,25053,138
2020/8/25,25204,151
2020/8/26,25322,118
2020/8/27,25448,126
2020/8/28,25547,99
2020/8/29,25670,123
2020/8/30,25746,76
2020/8/31,25819,73
2020/9/1,25923,104
2020/9/2,26049,126
2020/9/3,26136,87
2020/9/4,26207,71
2020/9/5,26278,71
2020/9/6,26321,43
2020/9/7,26373,52
2020/9/8,26465,92
2020/9/9,26524,59
2020/9/10,26564,40
2020/9/11,26607,43
2020/9/12,26651,44
2020/9/13,26692,41
2020/9/14,26739,47
2020/9/15,26778,39
