date,new_cases,cumulative_cases
2020/2/26,1,1
2020/2/27,1,0
2020/2/28,1,0
2020/2/29,2,1
2020/3/1,2,0
2020/3/2,2,0
2020/3/3,2,0
2020/3/4,4,2
2020/3/5,4,0
2020/3/6,13,9
2020/3/7,13,0
2020/3/8,20,7
2020/3/9,25,5
2020/3/10,31,6
2020/3/11,38,7
2020/3/12,52,14
2020/3/13,151,99
2020/3/14,151,0
2020/3/15,162,11
2020/3/16,200,38
2020/3/17,321,121
2020/3/18,372,51
2020/3/19,621,249
2020/3/20,793,172
2020/3/21,1021,228
2020/3/22,1546,525
2020/3/23,1924,378
2020/3/24,2247,323
2020/3/25,2554,307
2020/3/26,2985,431
2020/3/27,3417,432
2020/3/28,3904,487
2020/3/29,4256,352
2020/3/30,4579,323
2020/3/31,5717,1138
2020/4/1,6836,1119
2020/4/2,8044,1208
2020/4/3,9056,1012
2020/4/4,10360,1304
2020/4/5,11130,770
2020/4/6,12161,1031
2020/4/7,14034,1873
2020/4/8,16170,2136
2020/4/9,18092,1922
2020/4/10,19638,1546
2020/4/11,20727,1089
2020/4/12,22192,1465
2020/4/13,23430,1238
2020/4/14,25262,1832
2020/4/15,28320,3058
2020/4/16,30425,2105
2020/4/17,33682,3257
2020/4/18,36658,2976
2020/4/19,38654,1996
2020/4/20,40743,2089
2020/4/21,43079,2336
2020/4/22,45757,2678
2020/4/23,50036,4279
2020/4/24,54043,4007
2020/4/25,59324,5281
2020/4/26,63100,3776
2020/4/27,67446,4346
2020/4/28,73235,5789
2020/4/29,79685,6450
2020/4/30,87187,7502
2020/5/1,92202,5015
2020/5/2,97100,4898
2020/5/3,101826,4726
2020/5/4,108620,6794
2020/5/5,115455,6835
2020/5/6,126611,11156
2020/5/7,135773,9162
2020/5/8,146894,11121
2020/5/9,156061,9167
2020/5/10,162699,6638
2020/5/11,169594,6895
2020/5/12,178214,8620
2020/5/13,190137,11923
2020/5/14,203165,13028
2020/5/15,220291,17126
2020/5/16,233511,13220
2020/5/17,241080,7569
2020/5/18,255368,14288
2020/5/19,271885,16517
2020/5/20,291579,19694
2020/5/21,310087,18508
2020/5/22,330890,20803
2020/5/23,347398,16508
2020/5/24,363211,15813
2020/5/25,374898,11687
2020/5/26,391222,16324
2020/5/27,411821,20599
2020/5/28,438238,26417
2020/5/29,465166,26928
2020/5/30,498440,33274
2020/5/31,514849,16409
2020/6/1,526447,11598
2020/6/2,555383,28936
2020/6/3,584016,28633
2020/6/4,614941,30925
2020/6/5,645771,30830
2020/6/6,672846,27075
2020/6/7,691758,18912
2020/6/8,707412,15654
2020/6/9,739503,32091
2020/6/10,772416,32913
2020/6/11,802828,30412
2020/6/12,828810,25982
2020/6/13,850514,21704
2020/6/14,867624,17110
2020/6/15,888271,20647
2020/6/16,923189,34918
2020/6/17,955377,32188
2020/6/18,978142,22765
2020/6/19,1032913,54771
2020/6/20,1067579,34666
2020/6/21,1083341,15762
2020/6/22,1106470,23129
2020/6/23,1145906,39436
2020/6/24,1188631,42725
2020/6/25,1228114,39483
2020/6/26,1274974,46860
2020/6/27,1313667,38693
2020/6/28,1344143,30476
2020/6/29,1368195,24052
2020/6/30,1402041,33846
2020/7/1,1448753,46712
2020/7/2,1496858,48105
2020/7/3,1539081,42223
2020/7/4,1577004,37923
2020/7/5,1603055,26051
2020/7/6,1623284,20229
2020/7/7,1668589,45305
2020/7/8,1713160,44571
2020/7/9,1755779,42619
2020/7/10,1800827,45048
2020/7/11,1839850,39023
2020/7/12,1864681,24831
2020/7/13,1884967,20286
2020/7/14,1926824,41857
2020/7/15,1966748,39924
2020/7/16,2012151,45403
2020/7/17,2046328,34177
2020/7/18,2074860,28532
2020/7/19,2098389,23529
2020/7/20,2118646,20257
2020/7/21,2159654,41008
2020/7/22,2227514,67860
2020/7/23,2287475,59961
2020/7/24,2343366,55891
2020/7/25,2394513,51147
2020/7/26,2419091,24578
2020/7/27,2442375,23284
2020/7/28,2483191,40816
2020/7/29,2552265,69074
2020/7/30,2610102,57837
2020/7/31,2662485,52383
2020/8/1,2707877,45392
2020/8/2,2733677,25800
2020/8/3,2750318,16641
2020/8/4,2801921,51603
2020/8/5,2859073,57152
2020/8/6,2912212,53139
2020/8/7,2962442,50230
2020/8/8,3012412,49970
2020/8/9,3035422,23010
2020/8/10,3057470,22048
2020/8/11,3109630,52160
2020/8/12,3164785,55155
2020/8/13,3224876,60091
2020/8/14,3275520,50644
2020/8/15,3317096,41576
2020/8/16,3340197,23101
2020/8/17,3359570,19373
2020/8/18,3407354,47784
2020/8/19,3456652,49298
2020/8/20,3501975,45323
2020/8/21,3532330,30355
2020/8/22,3582362,50032
2020/8/23,3605783,23421
2020/8/24,3622861,17078
2020/8/25,3669995,47134
2020/8/26,3717156,47161
2020/8/27,3761391,44235
2020/8/28,3804803,43412
2020/8/29,3846153,41350
2020/8/30,3862311,16158
2020/8/31,3908272,45961
2020/9/1,3950931,42659
2020/9/2,3997865,46934
2020/9/3,4041638,43773
2020/9/4,4091801,50163
2020/9/5,4123000,31199
2020/9/6,4137521,14521
2020/9/7,4147794,10273
2020/9/8,4162073,14279
2020/9/9,4197889,35816
2020/9/10,4238446,40557
2020/9/11,4282164,43718
2020/9/12,4315687,33523
2020/9/13,4330455,14768
2020/9/14,4345610,15155
2020/9/15,4382263,36653
2020/9/16,4419083,36820
2020/9/17,4455386,36303
2020/9/18,4495183,39797
2020/9/19,4528240,33057
2020/9/20,4544629,16389
2020/9/21,4558040,13411
2020/9/22,4591364,33324
2020/9/23,4591364,0
2020/9/24,4657702,66338
2020/9/25,4689613,31911
2020/9/26,4717991,28378
2020/9/27,4732309,14318
2020/9/28,4745464,13155
2020/9/29,4777522,32058
2020/9/30,4810935,33413
2020/10/1,4847092,36157
2020/10/2,4847092,0
2020/10/3,4906833,59741
2020/10/4,4915289,8456
2020/10/5,4927235,11946
2020/10/6,4969141,41906
2020/10/7,5000694,31553
2020/10/8,5028444,27750
2020/10/9,5055888,27444
2020/10/10,5082637,26749
2020/10/11,5094979,12342
2020/10/12,5103408,8429
2020/10/13,5113628,10220
2020/10/14,5140863,27235
2020/10/15,5169386,28523
2020/10/16,5200300,30914
2020/10/17,5224362,24062
2020/10/18,5224362,0
2020/10/19,5250727,26365
2020/10/20,5273954,23227
2020/10/21,5298772,24818
2020/10/22,5323630,24858
2020/10/23,5353656,30026
2020/10/24,5380635,26979
2020/10/25,5394128,13493
2020/10/26,5409854,15726
2020/10/27,5439641,29787
2020/10/28,5468270,28629
2020/10/29,5494376,26106
2020/10/30,5516658,22282
2020/10/31,5535605,18947
2020/11/1,5545705,10100
2020/11/2,5554206,8501
2020/11/3,5566049,11843
2020/11/4,5590025,23976
2020/11/5,5590025,0
2020/11/6,5631181,41156
2020/11/7,5653561,22380
2020/11/8,5664115,10554
2020/11/9,5675032,10917
2020/11/10,5699005,23973
2020/11/11,5747660,48655
2020/11/12,5781582,33922
2020/11/13,5810652,29070
2020/11/14,5848959,38307
2020/11/15,5863093,14134
2020/11/16,5876464,13371
2020/11/17,5911758,35294
2020/11/18,5945849,34091
2020/11/19,5981767,35918
2020/11/20,6020164,38397
2020/11/21,6052786,32622
2020/11/22,6071401,18615
2020/11/23,6087608,16207
2020/11/24,6118708,31100
2020/11/25,6166606,47898
2020/11/26,6204220,37614
2020/11/27,6238350,34130
2020/11/28,6290272,51922
2020/11/29,6314740,24468
2020/11/30,6335878,21138
2020/12/1,6386787,50909
2020/12/2,6436650,49863
2020/12/3,6487084,50434
2020/12/4,6533968,46884
2020/12/5,6577177,43209
2020/12/6,6603540,26363
2020/12/7,6623911,20371
2020/12/8,6674999,51088
2020/12/9,6728452,53453
2020/12/10,6781799,53347
2020/12/11,6836227,54428
2020/12/12,6880127,43900
2020/12/13,6901952,21825
2020/12/14,6927145,25193
2020/12/15,6970034,42889
2020/12/16,7040608,70574
2020/12/17,7110434,69826
2020/12/18,7162978,52544
2020/12/19,7213155,50177
2020/12/20,7238600,25445
2020/12/21,7263619,25019
2020/12/22,7318821,55202
2020/12/23,7365517,46696
2020/12/24,7423945,58428
2020/12/25,7448560,24615
2020/12/26,7465806,17246
2020/12/27,7484285,18479
2020/12/28,7504833,20548
2020/12/29,7563551,58718
2020/12/30,7619200,55649
2020/12/31,7675973,56773
2021/1/1,7700578,24605
2021/1/2,7716405,15827
2021/1/3,7733746,17341
2021/1/4,7753752,20006
2021/1/5,7810400,56648
2021/1/6,7873830,63430
2021/1/7,7961673,87843
2021/1/8,8013708,52035
2021/1/9,8075998,62290
2021/1/10,8105790,29792
2021/1/11,8131612,25822
2021/1/12,8195637,64025
2021/1/13,8256536,60899
2021/1/14,8324294,67758
2021/1/15,8393492,69198
2021/1/16,8455059,61567
2021/1/17,8488099,33040
2021/1/18,8511770,23671
2021/1/19,8573864,62094
2021/1/20,8638249,64385
2021/1/21,8697368,59119
2021/1/22,8753920,56552
2021/1/23,8816254,62334
2021/1/24,8844577,28323
2021/1/25,8871393,26816
2021/1/26,8933356,61963
2021/1/27,8996876,63520
2021/1/28,9058687,61811
2021/1/29,9118513,59826
2021/1/30,9176975,58462
2021/1/31,9204731,27756
2021/2/1,9229322,24591
2021/2/2,9283418,54096
2021/2/3,9339420,56002
2021/2/4,9396293,56873
2021/2/5,9447165,50872
2021/2/6,9447165,0
2021/2/7,9524640,77475
2021/2/8,9524640,0
2021/2/9,9599565,74925
2021/2/10,9659167,59602
2021/2/11,9713909,54742
2021/2/12,9765455,51546
2021/2/13,9809754,44299
2021/2/14,9834513,24759
2021/2/15,9866710,32197
2021/2/16,9921981,55271
2021/2/17,9978747,56766
2021/2/18,10030626,51879
2021/2/19,10084208,53582
2021/2/20,10139148,54940
2021/2/21,10168174,29026
2021/2/22,10195160,26986
2021/2/23,10257875,62715
2021/2/24,10324463,66588
2021/2/25,10390461,65998
2021/2/26,10455630,65169
2021/2/27,10517232,61602
2021/2/28,10551259,34027
2021/3/1,10587001,35742
2021/3/2,10646926,59925
2021/3/3,10718630,71704
2021/3/4,10793732,75102
2021/3/5,10869227,75495
2021/3/6,10938836,69609
2021/3/7,11019344,80508
2021/3/8,11051665,32321
2021/3/9,11122429,70764
2021/3/10,11202305,79876
2021/3/11,11277717,75412
2021/3/12,11363380,85663
2021/3/13,11439558,76178
2021/3/14,11483370,43812
2021/3/15,11519609,36239
2021/3/16,11603535,83926
2021/3/17,11693838,90303
2021/3/18,11780820,86982
2021/3/19,11871390,90570
2021/3/20,11950459,79069
2021/3/21,11998233,47774
2021/3/22,12047526,49293
2021/3/23,12130019,82493
2021/3/24,12220011,89992
2021/3/25,12320169,100158
2021/3/26,12404414,84245
2021/3/27,12490362,85948
2021/3/28,12534688,44326
2021/3/29,12573615,38927
2021/3/30,12658109,84494
2021/3/31,12748747,90638
2021/4/1,12839844,91097
2021/4/2,12910082,70238
2021/4/3,12953597,43515
2021/4/4,12984956,31359
2021/4/5,13013601,28645
2021/4/6,13100580,86979
2021/4/7,13193205,92625
2021/4/8,13279857,86652
2021/4/9,13373174,93317
2021/4/10,13445006,71832
2021/4/11,13482023,37017
2021/4/12,13517808,35785
2021/4/13,13599994,82186
2021/4/14,13673507,73513
2021/4/15,13746681,73174
2021/4/16,13832455,85774
2021/4/17,13900091,67636
2021/4/18,13943071,42980
2021/4/19,13973695,30624
2021/4/20,14043076,69381
2021/4/21,14122795,79719
2021/4/22,14167973,45178
2021/4/23,14237078,69105
2021/4/24,14308215,71137
2021/4/25,14340787,32572
2021/4/26,14369423,28636
2021/4/27,14441563,72140
2021/4/28,14521289,79726
2021/4/29,14590678,69389
2021/4/30,14659011,68333
2021/5/1,14725975,66964
2021/5/2,14754910,28935
2021/5/3,14779529,24619
2021/5/4,14856888,77359
2021/5/5,14930183,73295
2021/5/6,15003563,73380
2021/5/7,15082449,78886
2021/5/8,15145879,63430
2021/5/9,15184790,38911
2021/5/10,15209990,25200
2021/5/11,15282705,72715
2021/5/12,15359397,76692
2021/5/13,15433989,74592
2021/5/14,15519525,85536
2021/5/15,15586534,67009
2021/5/16,15627243,40709
2021/5/17,15657391,30148
2021/5/18,15732836,75445
2021/5/19,15812055,79219
2021/5/20,15894094,82039
2021/5/21,15970949,76855
2021/5/22,16047439,76490
2021/5/23,16083258,35819
2021/5/24,16120756,37498
2021/5/25,16194209,73453
2021/5/26,16274695,80486
2021/5/27,16342162,67467
2021/5/28,16391930,49768
2021/5/29,16471600,79670
2021/5/30,16515120,43520
2021/5/31,16545554,30434
2021/6/1,16624480,78926
2021/6/2,16720081,95601
2021/6/3,16803472,83391
2021/6/4,16841408,37936
2021/6/5,16907425,66017
2021/6/6,16947062,39637
2021/6/7,16984218,37156
2021/6/8,17037129,52911
2021/6/9,17122877,85748
2021/6/10,17210969,88092
2021/6/11,17296118,85149
2021/6/12,17374818,78700
2021/6/13,17412766,37948
2021/6/14,17452612,39846
2021/6/15,17533221,80609
2021/6/16,17628588,95367
2021/6/17,17702630,74042
2021/6/18,17801462,98832
2021/6/19,17883750,82288
2021/6/20,17927928,44178
2021/6/21,17966831,38903
2021/6/22,18054653,87822
2021/6/23,18169881,115228
2021/6/24,18243483,73602
2021/6/25,18322760,79277
2021/6/26,18386894,64134
2021/6/27,18420598,33704
2021/6/28,18448402,27804
2021/6/29,18513305,64903
2021/6/30,18557141,43836
2021/7/1,18622304,65163
2021/7/2,18687469,65165
2021/7/3,18742025,54556
2021/7/4,18769808,27783
2021/7/5,18792511,22703
2021/7/6,18855015,62504
2021/7/7,18909037,54022
2021/7/8,18962762,53725
2021/7/9,19020499,57737
2021/7/10,19069003,48504
2021/7/11,19089940,20937
2021/7/12,19106971,17031
2021/7/13,19151993,45022
2021/7/14,19209729,57736
2021/7/15,19262518,52789
2021/7/16,19308109,45591
2021/7/17,19342448,34339
2021/7/18,19376574,34126
2021/7/19,19391845,15271
2021/7/20,19419437,27592
2021/7/21,19473954,54517
2021/7/22,19523711,49757
2021/7/23,19632443,108732
2021/7/24,19670534,38091
