date,new_cases,cumulative_cases
2020/1/23,95,643
2020/1/24,277,920
2020/1/25,486,1406
2020/1/26,669,2075
2020/1/27,802,2877
2020/1/28,2632,5509
2020/1/29,578,6087
2020/1/30,2054,8141
2020/1/31,1661,9802
2020/2/1,2089,11891
2020/2/2,4739,16630
2020/2/3,3086,19716
2020/2/4,3991,23707
2020/2/5,3733,27440
2020/2/6,3147,30587
2020/2/7,3523,34110
2020/2/8,2704,36814
2020/2/9,3015,39829
2020/2/10,2525,42354
2020/2/11,2032,44386
2020/2/12,373,44759
2020/2/13,15136,59895
2020/2/14,6463,66358
2020/2/15,2055,68413
2020/2/16,2100,70513
2020/2/17,1921,72434
2020/2/18,1777,74211
2020/2/19,408,74619
2020/2/20,458,75077
2020/2/21,473,75550
2020/2/22,1451,77001
2020/2/23,21,77022
2020/2/24,219,77241
2020/2/25,513,77754
2020/2/26,412,78166
2020/2/27,434,78600
2020/2/28,328,78928
2020/2/29,428,79356
2020/3/1,576,79932
2020/3/2,204,80136
2020/3/3,125,80261
2020/3/4,125,80386
2020/3/5,151,80537
2020/3/6,153,80690
2020/3/7,80,80770
2020/3/8,53,80823
2020/3/9,37,80860
2020/3/10,27,80887
2020/3/11,34,80921
2020/3/12,11,80932
2020/3/13,13,80945
2020/3/14,32,80977
2020/3/15,26,81003
2020/3/16,30,81033
2020/3/17,25,81058
2020/3/18,44,81102
2020/3/19,54,81156
2020/3/20,94,81250
2020/3/21,55,81305
2020/3/22,130,81435
2020/3/23,63,81498
2020/3/24,93,81591
2020/3/25,70,81661
2020/3/26,121,81782
2020/3/27,115,81897
2020/3/28,102,81999
2020/3/29,123,82122
2020/3/30,76,82198
2020/3/31,81,82279
2020/4/1,82,82361
2020/4/2,71,82432
2020/4/3,79,82511
2020/4/4,32,82543
2020/4/5,59,82602
2020/4/6,63,82665
2020/4/7,53,82718
2020/4/8,91,82809
2020/4/9,74,82883
2020/4/10,58,82941
2020/4/11,73,83014
2020/4/12,120,83134
2020/4/13,79,83213
2020/4/14,93,83306
2020/4/15,50,83356
2020/4/16,47,83403
2020/4/17,357,83760
2020/4/18,27,83787
2020/4/19,18,83805
2020/4/20,12,83817
2020/4/21,36,83853
2020/4/22,15,83868
2020/4/23,16,83884
2020/4/24,15,83899
2020/4/25,10,83909
2020/4/26,3,83912
2020/4/27,6,83918
2020/4/28,22,83940
2020/4/29,4,83944
2020/4/30,12,83956
2020/5/1,3,83959
2020/5/2,0,83959
2020/5/3,5,83964
2020/5/4,2,83966
2020/5/5,2,83968
2020/5/6,2,83970
2020/5/7,5,83975
2020/5/8,1,83976
2020/5/9,14,83990
2020/5/10,20,84010
2020/5/11,1,84011
2020/5/12,7,84018
2020/5/13,6,84024
2020/5/14,5,84029
2020/5/15,9,84038
2020/5/16,6,84044
2020/5/17,10,84054
2020/5/18,9,84063
2020/5/19,0,84063
2020/5/20,0,84063
2020/5/21,0,84063
2020/5/22,18,84081
2020/5/23,3,84084
2020/5/24,11,84095
2020/5/25,7,84102
2020/5/26,1,84103
2020/5/27,3,84106
2020/5/28,0,84106
2020/5/29,17,84123
2020/5/30,5,84128
2020/5/31,18,84146
2020/6/1,8,84154
2020/6/2,7,84161
2020/6/3,-1,84160
2020/6/4,11,84171
2020/6/5,6,84177
2020/6/6,9,84186
2020/6/7,5,84191
2020/6/8,4,84195
2020/6/9,3,84198
2020/6/10,11,84209
2020/6/11,7,84216
2020/6/12,12,84228
2020/6/13,58,84286
2020/6/14,49,84335
2020/6/15,43,84378
2020/6/16,44,84422
2020/6/17,36,84458
2020/6/18,36,84494
2020/6/19,0,84494
2020/6/20,59,84553
2020/6/21,19,84572
2020/6/22,52,84624
2020/6/23,29,84653
