date,new_cases,cumulative_cases
2020/3/5,1,1
2020/3/6,1,0
2020/3/7,1,0
2020/3/8,3,2
2020/3/9,3,0
2020/3/10,7,4
2020/3/11,13,6
2020/3/12,17,4
2020/3/13,24,7
2020/3/14,38,14
2020/3/15,51,13
2020/3/16,62,11
2020/3/17,62,0
2020/3/18,116,54
2020/3/19,150,34
2020/3/20,202,52
2020/3/21,240,38
2020/3/22,274,34
2020/3/23,402,128
2020/3/24,554,152
2020/3/25,709,155
2020/3/26,927,218
2020/3/27,1170,243
2020/3/28,1187,17
2020/3/29,1280,93
2020/3/30,1326,46
2020/3/31,1353,27
2020/4/1,1380,27
2020/4/2,1462,82
2020/4/3,1505,43
2020/4/4,1585,80
2020/4/5,1655,70
2020/4/6,1686,31
2020/4/7,1749,63
2020/4/8,1845,96
2020/4/9,1934,89
2020/4/10,2003,69
2020/4/11,2028,25
2020/4/12,2173,145
2020/4/13,2272,99
2020/4/14,2415,143
2020/4/15,2506,91
2020/4/16,2605,99
2020/4/17,2783,178
2020/4/18,3034,251
2020/4/19,3158,124
2020/4/20,3300,142
2020/4/21,3465,165
2020/4/22,3635,170
2020/4/23,3953,318
2020/4/24,4220,267
2020/4/25,4361,141
2020/4/26,4546,185
2020/4/27,4793,247
2020/4/28,4996,203
2020/4/29,5350,354
2020/4/30,5647,297
2020/5/1,5951,304
2020/5/2,6336,385
2020/5/3,6783,447
2020/5/4,7220,437
2020/5/5,7572,352
2020/5/6,7808,236
2020/5/7,8232,424
2020/5/8,8895,663
2020/5/9,9420,525
2020/5/10,10015,595
2020/5/11,10652,637
2020/5/12,11350,698
2020/5/13,12074,724
2020/5/14,12739,665
2020/5/15,13524,785
2020/5/16,14355,831
2020/5/17,15515,1160
2020/5/18,16433,918
2020/5/19,17200,767
2020/5/20,18003,803
2020/5/21,19137,1134
2020/5/22,20125,988
2020/5/23,21343,1218
2020/5/24,22583,1240
2020/5/25,23615,1032
2020/5/26,24264,649
2020/5/27,25937,1673
2020/5/28,27403,1466
2020/5/29,29240,1837
2020/5/30,30967,1727
2020/5/31,32683,1716
2020/6/1,34357,1674
2020/6/2,35812,1455
2020/6/3,37525,1713
2020/6/4,40792,3267
2020/6/5,43434,2642
2020/6/6,45973,2539
2020/6/7,48285,2312
2020/6/8,50879,2594
2020/6/9,52991,2112
2020/6/10,55421,2430
2020/6/11,58568,3147
2020/6/12,61927,3359
2020/6/13,65736,3809
2020/6/14,70038,4302
2020/6/15,73533,3495
2020/6/16,76334,2801
2020/6/17,80412,4078
2020/6/18,83890,3478
2020/6/19,87715,3825
2020/6/20,92681,4966
2020/6/21,97302,4621
2020/6/22,101590,4288
2020/6/23,106108,4518
2020/6/24,111796,5688
2020/6/25,118375,6579
2020/6/26,124590,6215
2020/6/27,131800,7210
2020/6/28,138134,6334
2020/6/29,144264,6130
2020/6/30,151209,6945
2020/7/1,159333,8124
2020/7/2,168061,8728
2020/7/3,177124,9063
2020/7/4,187977,10853
2020/7/5,196750,8773
2020/7/6,205721,8971
2020/7/7,215855,10134
2020/7/8,224665,8810
2020/7/9,238339,13674
2020/7/10,250687,12348
2020/7/11,264184,13497
2020/7/12,276242,12058
2020/7/13,287796,11554
2020/7/14,298292,10496
2020/7/15,311049,12757
2020/7/16,324221,13172
2020/7/17,337594,13373
2020/7/18,350879,13285
2020/7/19,364328,13449
2020/7/20,373628,9300
2020/7/21,381798,8170
2020/7/22,394948,13150
2020/7/23,408052,13104
2020/7/24,421996,13944
2020/7/25,434200,12204
2020/7/26,445433,11233
2020/7/27,452529,7096
2020/7/28,459761,7232
2020/7/29,471123,11362
2020/7/30,482169,11046
2020/7/31,493183,11014
2020/8/1,503290,10107
2020/8/2,511485,8195
2020/8/3,516862,5377
2020/8/4,521318,4456
2020/8/5,529877,8559
2020/8/6,538184,8307
2020/8/7,545476,7292
2020/8/8,553188,7712
2020/8/9,559859,6671
2020/8/10,563598,3739
2020/8/11,566109,2511
2020/8/12,568919,2810
2020/8/13,572865,3946
2020/8/14,579140,6275
2020/8/15,583653,4513
2020/8/16,587345,3692
2020/8/17,589886,2541
2020/8/18,592144,2258
2020/8/19,596060,3916
2020/8/20,599940,3880
2020/8/21,603338,3398
2020/8/22,607045,3707
2020/8/23,609773,2728
2020/8/24,611450,1677
2020/8/25,613017,1567
2020/8/26,615701,2684
2020/8/27,618286,2585
2020/8/28,620132,1846
2020/8/29,622551,2419
2020/8/30,625056,2505
2020/8/31,627041,1985
2020/9/1,628259,1218
2020/9/2,630595,2336
2020/9/3,633015,2420
2020/9/4,635078,2063
2020/9/5,636884,1806
2020/9/6,638517,1633
2020/9/7,639362,845
2020/9/8,640441,1079
2020/9/9,642431,1990
2020/9/10,644438,2007
2020/9/11,646398,1960
2020/9/12,648214,1816
2020/9/13,649793,1579
2020/9/14,650749,956
2020/9/15,651521,772
2020/9/16,653444,1923
2020/9/17,655572,2128
2020/9/18,657627,2055
2020/9/19,659656,2029
2020/9/20,661211,1555
2020/9/21,661936,725
2020/9/22,663282,1346
2020/9/23,665188,1906
2020/9/24,667049,1861
2020/9/25,668529,1480
2020/9/26,669498,969
2020/9/27,670766,1268
2020/9/28,671669,903
2020/9/29,672572,903
2020/9/30,674339,1767
2020/10/1,676084,1745
2020/10/2,677833,1749
2020/10/3,679716,1883
2020/10/4,681289,1573
2020/10/5,682215,926
2020/10/6,683242,1027
2020/10/7,685155,1913
2020/10/8,686891,1736
2020/10/9,688352,1461
2020/10/10,690896,2544
2020/10/11,692471,1575
2020/10/12,693359,888
2020/10/13,694537,1178
2020/10/14,696414,1877
2020/10/15,698184,1770
2020/10/16,700203,2019
2020/10/17,702131,1928
2020/10/18,703793,1662
2020/10/19,705254,1461
2020/10/20,706304,1050
2020/10/21,708359,2055
2020/10/22,710515,2156
2020/10/23,712412,1897
2020/10/24,714246,1834
2020/10/25,715868,1622
2020/10/26,716759,891
2020/10/27,717851,1092
2020/10/28,719714,1863
2020/10/29,721770,2056
2020/10/30,723682,1912
2020/10/31,725452,1770
2020/11/1,726823,1371
2020/11/2,727595,772
2020/11/3,728836,1241
2020/11/4,730548,1712
2020/11/5,732414,1866
2020/11/6,734175,1761
2020/11/7,735906,1731
2020/11/8,737278,1372
2020/11/9,738525,1247
2020/11/10,740254,1729
2020/11/11,742394,2140
2020/11/12,744732,2338
2020/11/13,746945,2213
2020/11/14,749182,2237
2020/11/15,751024,1842
2020/11/16,752269,1245
2020/11/17,754256,1987
2020/11/18,757144,2888
2020/11/19,759658,2514
2020/11/20,762763,3105
2020/11/21,765409,2646
2020/11/22,767679,2270
2020/11/23,769759,2080
2020/11/24,772252,2493
2020/11/25,775502,3250
2020/11/26,778571,3069
2020/11/27,781941,3370
2020/11/28,785139,3198
2020/11/29,787702,2563
2020/11/30,790004,2302
2020/12/1,792299,2295
2020/12/2,796472,4173
2020/12/3,800872,4400
2020/12/4,805804,4932
2020/12/5,810449,4645
2020/12/6,814565,4116
2020/12/7,817878,3313
2020/12/8,821889,4011
2020/12/9,828598,6709
2020/12/10,836764,8166
2020/12/11,845083,8319
2020/12/12,852965,7882
2020/12/13,860964,7999
2020/12/14,866127,5163
2020/12/15,873679,7552
2020/12/16,883687,10008
2020/12/17,892813,9126
2020/12/18,901538,8725
2020/12/19,912477,10939
2020/12/20,921922,9445
2020/12/21,930711,8789
2020/12/22,940212,9501
2020/12/23,954258,14046
2020/12/24,968563,14305
2020/12/25,983359,14796
2020/12/26,994911,11552
2020/12/27,1004413,9502
2020/12/28,1011871,7458
2020/12/29,1021451,9580
2020/12/30,1039161,17710
2020/12/31,1057161,18000
2021/1/1,1073887,16726
2021/1/2,1088889,15002
2021/1/3,1100748,11859
2021/1/4,1113349,12601
2021/1/5,1127759,14410
2021/1/6,1149591,21832
2021/1/7,1170590,20999
2021/1/8,1192570,21980
2021/1/9,1214176,21606
2021/1/10,1231597,17421
2021/1/11,1246643,15046
2021/1/12,1259748,13105
2021/1/13,1278303,18555
2021/1/14,1296806,18503
2021/1/15,1311686,14880
2021/1/16,1325659,13973
2021/1/17,1337926,12267
2021/1/18,1346936,9010
2021/1/19,1356716,9780
2021/1/20,1369426,12710
2021/1/21,1380807,11381
2021/1/22,1392568,11761
2021/1/23,1404839,12271
2021/1/24,1412986,8147
2021/1/25,1417537,4551
2021/1/26,1423578,6041
2021/1/27,1430648,7070
2021/1/28,1437798,7150
2021/1/29,1443939,6141
2021/1/30,1449236,5297
2021/1/31,1453761,4525
2021/2/1,1456309,2548
2021/2/2,1458958,2649
2021/2/3,1463016,4058
2021/2/4,1466767,3751
2021/2/5,1470516,3749
2021/2/6,1473700,3184
2021/2/7,1476135,2435
2021/2/8,1477511,1376
2021/2/9,1479253,1742
2021/2/10,1482412,3159
2021/2/11,1484900,2488
2021/2/12,1487681,2781
2021/2/13,1490063,2382
2021/2/14,1491807,1744
2021/2/15,1492909,1102
2021/2/16,1494119,1210
2021/2/17,1496439,2320
2021/2/18,1498766,2327
2021/2/19,1500677,1911
2021/2/20,1502367,1690
2021/2/21,1503796,1429
2021/2/22,1504588,792
2021/2/23,1505586,998
2021/2/24,1507448,1862
2021/2/25,1509124,1676
2021/2/26,1510778,1654
2021/2/27,1512225,1447
2021/2/28,1513393,1168
2021/3/1,1513959,566
