date,new_cases,cumulative_cases
2020/1/23,0,1
2020/1/24,1,2
2020/1/25,0,2
2020/1/26,3,5
2020/1/27,0,5
2020/1/28,0,5
2020/1/29,1,6
2020/1/30,0,6
2020/1/31,2,8
2020/2/1,0,8
2020/2/2,0,8
2020/2/3,3,11
2020/2/4,0,11
2020/2/5,0,11
2020/2/6,1,12
2020/2/7,0,12
2020/2/8,0,12
2020/2/9,0,12
2020/2/10,0,12
2020/2/11,1,13
2020/2/12,0,13
2020/2/13,1,14
2020/2/14,0,14
2020/2/15,0,14
2020/2/16,0,14
2020/2/17,0,14
2020/2/18,0,14
2020/2/19,0,14
2020/2/20,0,14
2020/2/21,2,16
2020/2/22,0,16
2020/2/23,0,16
2020/2/24,0,16
2020/2/25,0,16
2020/2/26,0,16
2020/2/27,1,17
2020/2/28,0,17
2020/2/29,8,25
2020/3/1,7,32
2020/3/2,23,55
2020/3/3,19,74
2020/3/4,33,107
2020/3/5,77,184
2020/3/6,53,237
2020/3/7,166,403
2020/3/8,116,519
2020/3/9,75,594
2020/3/10,188,782
2020/3/11,365,1147
2020/3/12,439,1586
2020/3/13,633,2219
2020/3/14,759,2978
2020/3/15,234,3212
2020/3/16,1467,4679
2020/3/17,1833,6512
2020/3/18,2657,9169
2020/3/19,4494,13663
2020/3/20,6367,20030
2020/3/21,5995,26025
2020/3/22,8873,34898
2020/3/23,11238,46136
2020/3/24,10619,56755
2020/3/25,12082,68837
2020/3/26,17856,86693
2020/3/27,18690,105383
2020/3/28,19630,125013
2020/3/29,18899,143912
2020/3/30,22075,165987
2020/3/31,26314,192301
2020/4/1,32286,224587
2020/4/2,32222,256809
2020/4/3,32307,289116
2020/4/4,32386,321502
2020/4/5,29895,351397
2020/4/6,31390,382787
2020/4/7,30779,413566
2020/4/8,31235,444801
2020/4/9,35942,480743
2020/4/10,34403,515146
2020/4/11,29083,544229
2020/4/12,27256,571485
2020/4/13,26939,598424
2020/4/14,28818,627242
2020/4/15,25408,652650
2020/4/16,30002,682652
2020/4/17,33066,715718
2020/4/18,27907,743625
2020/4/19,26062,769687
2020/4/20,29820,799507
2020/4/21,25926,825433
2020/4/22,28911,854344
2020/4/23,33612,887956
2020/4/24,32327,920283
2020/4/25,30380,950663
2020/4/26,26488,977151
2020/4/27,23715,1000866
2020/4/28,24575,1025441
2020/4/29,26459,1051900
2020/4/30,29205,1081105
2020/5/1,34907,1116012
2020/5/2,27348,1143360
2020/5/3,24321,1167681
2020/5/4,24068,1191749
2020/5/5,24528,1216277
2020/5/6,24569,1240846
2020/5/7,27429,1268275
2020/5/8,26830,1295105
2020/5/9,25176,1320281
2020/5/10,18805,1339086
2020/5/11,19298,1358384
2020/5/12,22927,1381311
2020/5/13,20433,1401744
2020/5/14,26817,1428561
2020/5/15,24733,1453294
2020/5/16,24135,1477429
2020/5/17,18388,1495817
