date,new_deaths,cumulative_deaths
2020/3/1,1,1
2020/3/2,0,1
2020/3/3,0,1
2020/3/4,1,2
2020/3/5,0,2
2020/3/6,0,2
2020/3/7,0,2
2020/3/8,1,3
2020/3/9,0,3
2020/3/10,0,3
2020/3/11,0,3
2020/3/12,0,3
2020/3/13,0,3
2020/3/14,0,3
2020/3/15,0,3
2020/3/16,0,3
2020/3/17,2,5
2020/3/18,1,6
2020/3/19,0,6
2020/3/20,1,7
2020/3/21,0,7
2020/3/22,0,7
2020/3/23,0,7
2020/3/24,1,8
2020/3/25,0,8
2020/3/26,5,13
2020/3/27,0,13
2020/3/28,1,14
2020/3/29,2,16
2020/3/30,1,17
2020/3/31,1,18
2020/4/1,2,20
2020/4/2,4,24
2020/4/3,4,28
2020/4/4,2,30
2020/4/5,5,35
2020/4/6,5,40
2020/4/7,5,45
2020/4/8,5,50
2020/4/9,1,51
2020/4/10,3,54
2020/4/11,3,57
2020/4/12,3,60
2020/4/13,1,61
2020/4/14,1,62
2020/4/15,1,63
2020/4/16,0,63
2020/4/17,3,66
2020/4/18,1,67
2020/4/19,0,67
2020/4/20,0,67
2020/4/21,0,67
2020/4/22,0,67
2020/4/23,8,75
2020/4/24,4,79
2020/4/25,1,80
2020/4/26,3,83
2020/4/27,0,83
2020/4/28,6,89
2020/4/29,2,91
2020/4/30,2,93
2020/5/1,0,93
2020/5/2,1,94
2020/5/3,1,95
2020/5/4,1,96
2020/5/5,1,97
2020/5/6,0,97
2020/5/7,0,97
2020/5/8,0,97
2020/5/9,0,97
2020/5/10,0,97
2020/5/11,0,97
2020/5/12,1,98
2020/5/13,0,98
2020/5/14,0,98
2020/5/15,0,98
2020/5/16,0,98
2020/5/17,1,99
2020/5/18,0,99
2020/5/19,1,100
2020/5/20,0,100
2020/5/21,1,101
2020/5/22,0,101
2020/5/23,1,102
2020/5/24,0,102
2020/5/25,0,102
2020/5/26,1,103
2020/5/27,0,103
2020/5/28,0,103
2020/5/29,0,103
2020/5/30,0,103
2020/5/31,0,103
2020/6/1,-1,102
2020/6/2,0,102
2020/6/3,0,102
2020/6/4,0,102
2020/6/5,0,102
2020/6/6,0,102
2020/6/7,0,102
2020/6/8,0,102
2020/6/9,0,102
2020/6/10,0,102
2020/6/11,0,102
2020/6/12,0,102
2020/6/13,0,102
2020/6/14,0,102
2020/6/15,0,102
2020/6/16,0,102
2020/6/17,0,102
2020/6/18,0,102
2020/6/19,0,102
2020/6/20,0,102
2020/6/21,0,102
2020/6/22,0,102
2020/6/23,1,103
2020/6/24,1,104
2020/6/25,0,104
2020/6/26,0,104
2020/6/27,0,104
2020/6/28,0,104
2020/6/29,0,104
2020/6/30,0,104
2020/7/1,0,104
2020/7/2,0,104
2020/7/3,0,104
2020/7/4,0,104
2020/7/5,2,106
2020/7/6,0,106
2020/7/7,0,106
2020/7/8,0,106
2020/7/9,0,106
2020/7/10,1,107
2020/7/11,1,108
2020/7/12,0,108
2020/7/13,0,108
2020/7/14,3,111
2020/7/15,2,113
2020/7/16,3,116
2020/7/17,2,118
2020/7/18,4,122
2020/7/19,1,123
2020/7/20,3,126
2020/7/21,2,128
2020/7/22,5,133
2020/7/23,6,139
2020/7/24,6,145
2020/7/25,10,155
2020/7/26,6,161
