date,new_deaths,cumulative_deaths
2020/3/17,1,1
2020/3/18,2,3
2020/3/19,3,6
2020/3/20,5,11
2020/3/21,4,15
2020/3/22,10,25
2020/3/23,9,34
2020/3/24,12,46
2020/3/25,13,59
2020/3/26,18,77
2020/3/27,15,92
2020/3/28,19,111
2020/3/29,25,136
2020/3/30,23,159
2020/3/31,42,201
2020/4/1,39,240
2020/4/2,84,324
2020/4/3,35,359
2020/4/4,86,445
2020/4/5,41,486
2020/4/6,78,564
2020/4/7,122,686
2020/4/8,133,819
2020/4/9,131,950
2020/4/10,107,1057
2020/4/11,67,1124
2020/4/12,99,1223
2020/4/13,105,1328
2020/4/14,204,1532
2020/4/15,204,1736
2020/4/16,188,1924
2020/4/17,217,2141
2020/4/18,213,2354
2020/4/19,108,2462
2020/4/20,125,2587
2020/4/21,154,2741
2020/4/22,165,2906
2020/4/23,425,3331
2020/4/24,373,3704
2020/4/25,353,4057
2020/4/26,229,4286
2020/4/27,317,4603
2020/4/28,480,5083
2020/4/29,430,5513
2020/4/30,493,6006
2020/5/1,406,6412
2020/5/2,349,6761
2020/5/3,290,7051
2020/5/4,316,7367
2020/5/5,571,7938
2020/5/6,650,8588
2020/5/7,602,9190
2020/5/8,827,10017
2020/5/9,639,10656
2020/5/10,467,11123
2020/5/11,530,11653
2020/5/12,808,12461
2020/5/13,779,13240
2020/5/14,759,13999
2020/5/15,963,14962
2020/5/16,700,15662
2020/5/17,456,16118
2020/5/18,735,16853
2020/5/19,1130,17983
2020/5/20,876,18859
2020/5/21,1188,20047
2020/5/22,1001,21048
2020/5/23,965,22013
2020/5/24,653,22666
2020/5/25,807,23473
2020/5/26,1039,24512
2020/5/27,1086,25598
2020/5/28,1156,26754
2020/5/29,1124,27878
2020/5/30,956,28834
2020/5/31,480,29314
2020/6/1,623,29937
2020/6/2,1262,31199
2020/6/3,1349,32548
2020/6/4,1473,34021
2020/6/5,1005,35026
2020/6/6,904,35930
2020/6/7,525,36455
2020/6/8,679,37134
2020/6/9,1272,38406
2020/6/10,1274,39680
2020/6/11,1239,40919
2020/6/12,909,41828
2020/6/13,892,42720
2020/6/14,612,43332
2020/6/15,627,43959
2020/6/16,1282,45241
2020/6/17,1269,46510
2020/6/18,1238,47748
2020/6/19,1206,48954
2020/6/20,1022,49976
2020/6/21,615,50591
2020/6/22,680,51271
2020/6/23,1374,52645
2020/6/24,1185,53830
2020/6/25,1141,54971
2020/6/26,990,55961
2020/6/27,1109,57070
2020/6/28,552,57622
2020/6/29,692,58314
2020/6/30,1280,59594
2020/7/1,1038,60632
2020/7/2,1252,61884
2020/7/3,1290,63174
2020/7/4,1091,64265
2020/7/5,602,64867
2020/7/6,620,65487
2020/7/7,1254,66741
2020/7/8,1223,67964
2020/7/9,1220,69184
2020/7/10,1214,70398
2020/7/11,1071,71469
2020/7/12,631,72100
2020/7/13,733,72833
2020/7/14,1300,74133
2020/7/15,1233,75366
2020/7/16,1322,76688
2020/7/17,1163,77851
2020/7/18,921,78772
2020/7/19,716,79488
2020/7/20,632,80120
2020/7/21,1367,81487
2020/7/22,1284,82771
2020/7/23,1311,84082
2020/7/24,1156,85238
2020/7/25,1211,86449
