date,new_deaths,cumulative_deaths
2020/3/8,1,1
2020/3/9,0,1
2020/3/10,0,1
2020/3/11,1,2
2020/3/12,0,2
2020/3/13,0,2
2020/3/14,0,2
2020/3/15,0,2
2020/3/16,3,5
2020/3/17,3,8
2020/3/18,1,9
2020/3/19,3,12
2020/3/20,1,13
2020/3/21,5,18
2020/3/22,3,21
2020/3/23,3,24
2020/3/24,3,27
2020/3/25,8,35
2020/3/26,4,39
2020/3/27,16,55
2020/3/28,6,61
2020/3/29,5,66
2020/3/30,24,90
2020/3/31,36,126
2020/4/1,19,145
2020/4/2,25,170
2020/4/3,53,223
2020/4/4,49,272
2020/4/5,30,302
2020/4/6,51,353
2020/4/7,64,417
2020/4/8,55,472
2020/4/9,69,541
2020/4/10,74,615
2020/4/11,74,689
2020/4/12,56,745
2020/4/13,76,821
2020/4/14,145,966
2020/4/15,104,1070
2020/4/16,179,1249
2020/4/17,116,1365
2020/4/18,162,1527
2020/4/19,109,1636
2020/4/20,121,1757
2020/4/21,152,1909
2020/4/22,163,2072
2020/4/23,160,2232
2020/4/24,157,2389
2020/4/25,163,2552
2020/4/26,118,2670
2020/4/27,147,2817
2020/4/28,141,2958
2020/4/29,175,3133
2020/4/30,145,3278
2020/5/1,229,3507
2020/5/2,147,3654
2020/5/3,114,3768
2020/5/4,212,3980
2020/5/5,187,4167
2020/5/6,180,4347
2020/5/7,175,4522
2020/5/8,155,4677
2020/5/9,125,4802
2020/5/10,161,4963
2020/5/11,136,5099
2020/5/12,183,5282
2020/5/13,127,5409
2020/5/14,166,5575
2020/5/15,87,5662
2020/5/16,118,5780
2020/5/17,103,5883
2020/5/18,57,5940
2020/5/19,70,6010
2020/5/20,125,6135
2020/5/21,114,6249
2020/5/22,92,6341
2020/5/23,105,6446
2020/5/24,68,6514
2020/5/25,121,6635
2020/5/26,96,6731
2020/5/27,125,6856
2020/5/28,106,6962
2020/5/29,83,7045
2020/5/30,96,7141
2020/5/31,215,7356
2020/6/1,29,7385
2020/6/2,71,7456
2020/6/3,102,7558
2020/6/4,139,7697
2020/6/5,61,7758
2020/6/6,72,7830
2020/6/7,27,7857
2020/6/8,33,7890
2020/6/9,59,7949
2020/6/10,59,8008
2020/6/11,41,8049
2020/6/12,54,8103
2020/6/13,59,8162
2020/6/14,35,8197
2020/6/15,30,8227
2020/6/16,41,8268
2020/6/17,35,8303
2020/6/18,47,8350
2020/6/19,45,8395
2020/6/20,60,8455
2020/6/21,14,8469
2020/6/22,12,8481
2020/6/23,18,8499
2020/6/24,31,8530
2020/6/25,22,8552
2020/6/26,4,8556
2020/6/27,9,8565
2020/6/28,5,8570
2020/6/29,47,8617
2020/6/30,22,8639
2020/7/1,28,8667
2020/7/2,23,8690
2020/7/3,22,8712
2020/7/4,8,8720
2020/7/5,9,8729
2020/7/6,9,8738
2020/7/7,17,8755
2020/7/8,22,8777
2020/7/9,10,8787
2020/7/10,14,8801
2020/7/11,8,8809
2020/7/12,8,8817
2020/7/13,10,8827
2020/7/14,9,8836
2020/7/15,12,8848
2020/7/16,18,8866
2020/7/17,8,8874
2020/7/18,8,8882
2020/7/19,4,8886
2020/7/20,5,8891
2020/7/21,5,8896
2020/7/22,7,8903
2020/7/23,4,8907
2020/7/24,7,8914
2020/7/25,5,8919
2020/7/26,5,8924
2020/7/27,11,8935
2020/7/28,13,8948
2020/7/29,6,8954
2020/7/30,12,8966
2020/7/31,5,8971
2020/8/1,6,8977
2020/8/2,4,8981
2020/8/3,5,8986
2020/8/4,10,8996
2020/8/5,5,9001
2020/8/6,3,9004
2020/8/7,4,9008
2020/8/8,7,9015
2020/8/9,4,9019
2020/8/10,6,9025
2020/8/11,5,9030
2020/8/12,14,9044
2020/8/13,10,9054
2020/8/14,5,9059
2020/8/15,3,9062
2020/8/16,2,9064
2020/8/17,6,9070
2020/8/18,10,9080
2020/8/19,5,9085
2020/8/20,5,9090
2020/8/21,11,9101
2020/8/22,6,9107
2020/8/23,3,9110
2020/8/24,9,9119
2020/8/25,8,9127
2020/8/26,2,9129
2020/8/27,7,9136
2020/8/28,9,9145
2020/8/29,5,9150
2020/8/30,3,9153
2020/8/31,9,9162
2020/9/1,6,9168
2020/9/2,4,9172
2020/9/3,6,9178
2020/9/4,2,9180
2020/9/5,2,9182
2020/9/6,0,9182
2020/9/7,2,9184
2020/9/8,8,9192
2020/9/9,3,9195
2020/9/10,7,9202
2020/9/11,3,9205
2020/9/12,6,9211
2020/9/13,2,9213
2020/9/14,8,9221
2020/9/15,9,9230
2020/9/16,5,9235
2020/9/17,4,9239
2020/9/18,6,9245
2020/9/19,6,9251
2020/9/20,5,9256
2020/9/21,12,9268
2020/9/22,7,9275
2020/9/23,9,9284
2020/9/24,6,9290
2020/9/25,5,9295
2020/9/26,8,9303
2020/9/27,5,9308
2020/9/28,10,9318
2020/9/29,13,9331
2020/9/30,6,9337
2020/10/1,22,9359
2020/10/2,98,9457
2020/10/3,52,9509
2020/10/4,14,9523
2020/10/5,27,9550
2020/10/6,24,9574
2020/10/7,11,9585
2020/10/8,14,9599
2020/10/9,29,9628
2020/10/10,23,9651
