date,new_deaths,cumulative_deaths
2020/1/22,,17
2020/1/23,1,18
2020/1/24,8,26
2020/1/25,16,42
2020/1/26,14,56
2020/1/27,26,82
2020/1/28,49,131
2020/1/29,2,133
2020/1/30,38,171
2020/1/31,42,213
2020/2/1,46,259
2020/2/2,102,361
2020/2/3,64,425
2020/2/4,66,491
2020/2/5,72,563
2020/2/6,70,633
2020/2/7,85,718
2020/2/8,87,805
2020/2/9,100,905
2020/2/10,107,1012
2020/2/11,100,1112
2020/2/12,5,1117
2020/2/13,252,1369
2020/2/14,152,1521
2020/2/15,142,1663
2020/2/16,103,1766
2020/2/17,98,1864
2020/2/18,139,2003
2020/2/19,113,2116
2020/2/20,122,2238
2020/2/21,0,2238
2020/2/22,205,2443
2020/2/23,2,2445
2020/2/24,150,2595
2020/2/25,70,2665
2020/2/26,52,2717
2020/2/27,29,2746
2020/2/28,44,2790
2020/2/29,47,2837
2020/3/1,35,2872
2020/3/2,42,2914
2020/3/3,33,2947
2020/3/4,36,2983
2020/3/5,32,3015
2020/3/6,29,3044
2020/3/7,28,3072
2020/3/8,28,3100
2020/3/9,23,3123
2020/3/10,16,3139
2020/3/11,22,3161
2020/3/12,11,3172
2020/3/13,8,3180
2020/3/14,13,3193
2020/3/15,10,3203
2020/3/16,14,3217
2020/3/17,13,3230
2020/3/18,11,3241
2020/3/19,8,3249
2020/3/20,4,3253
2020/3/21,6,3259
2020/3/22,15,3274
2020/3/23,0,3274
2020/3/24,7,3281
2020/3/25,4,3285
2020/3/26,6,3291
2020/3/27,5,3296
2020/3/28,3,3299
2020/3/29,5,3304
2020/3/30,4,3308
2020/3/31,1,3309
2020/4/1,7,3316
2020/4/2,6,3322
2020/4/3,4,3326
2020/4/4,4,3330
2020/4/5,3,3333
2020/4/6,2,3335
2020/4/7,0,3335
2020/4/8,2,3337
2020/4/9,2,3339
2020/4/10,1,3340
2020/4/11,3,3343
2020/4/12,0,3343
2020/4/13,2,3345
2020/4/14,0,3345
2020/4/15,1,3346
2020/4/16,0,3346
2020/4/17,1290,4636
2020/4/18,0,4636
2020/4/19,0,4636
2020/4/20,0,4636
2020/4/21,0,4636
2020/4/22,0,4636
2020/4/23,0,4636
2020/4/24,0,4636
2020/4/25,0,4636
2020/4/26,1,4637
2020/4/27,0,4637
2020/4/28,0,4637
2020/4/29,0,4637
2020/4/30,0,4637
2020/5/1,0,4637
2020/5/2,0,4637
2020/5/3,0,4637
2020/5/4,0,4637
2020/5/5,0,4637
2020/5/6,0,4637
2020/5/7,0,4637
2020/5/8,0,4637
2020/5/9,0,4637
2020/5/10,0,4637
2020/5/11,0,4637
2020/5/12,0,4637
2020/5/13,0,4637
2020/5/14,0,4637
2020/5/15,0,4637
2020/5/16,1,4638
2020/5/17,0,4638
2020/5/18,0,4638
2020/5/19,0,4638
2020/5/20,0,4638
2020/5/21,0,4638
2020/5/22,0,4638
2020/5/23,0,4638
2020/5/24,0,4638
2020/5/25,0,4638
2020/5/26,0,4638
2020/5/27,0,4638
2020/5/28,0,4638
2020/5/29,0,4638
2020/5/30,0,4638
2020/5/31,0,4638
2020/6/1,0,4638
2020/6/2,0,4638
2020/6/3,0,4638
2020/6/4,0,4638
2020/6/5,0,4638
2020/6/6,0,4638
2020/6/7,0,4638
2020/6/8,0,4638
2020/6/9,0,4638
2020/6/10,0,4638
2020/6/11,0,4638
2020/6/12,0,4638
2020/6/13,0,4638
2020/6/14,0,4638
2020/6/15,0,4638
2020/6/16,0,4638
2020/6/17,0,4638
2020/6/18,0,4638
2020/6/19,0,4638
2020/6/20,1,4639
2020/6/21,0,4639
2020/6/22,0,4639
2020/6/23,1,4640
2020/6/24,0,4640
2020/6/25,1,4641
2020/6/26,0,4641
2020/6/27,0,4641
2020/6/28,0,4641
2020/6/29,0,4641
2020/6/30,0,4641
2020/7/1,0,4641
2020/7/2,0,4641
2020/7/3,0,4641
2020/7/4,0,4641
2020/7/5,0,4641
2020/7/6,0,4641
2020/7/7,0,4641
2020/7/8,0,4641
2020/7/9,0,4641
2020/7/10,0,4641
2020/7/11,0,4641
2020/7/12,0,4641
2020/7/13,0,4641
2020/7/14,1,4642
2020/7/15,2,4644
2020/7/16,0,4644
2020/7/17,1,4645
2020/7/18,1,4646
2020/7/19,0,4646
2020/7/20,0,4646
2020/7/21,2,4648
2020/7/22,0,4648
2020/7/23,1,4649
2020/7/24,1,4650
2020/7/25,2,4652
2020/7/26,0,4652
2020/7/27,4,4656
2020/7/28,1,4657
2020/7/29,1,4658
2020/7/30,1,4659
2020/7/31,2,4661
2020/8/1,6,4667
2020/8/2,2,4669
2020/8/3,3,4672
2020/8/4,4,4676
2020/8/5,1,4677
2020/8/6,3,4680
2020/8/7,1,4681
2020/8/8,0,4681
2020/8/9,5,4686
2020/8/10,3,4689
2020/8/11,4,4693
2020/8/12,4,4697
2020/8/13,3,4700
2020/8/14,1,4701
2020/8/15,2,4703
2020/8/16,0,4703
2020/8/17,0,4703
2020/8/18,2,4705
2020/8/19,1,4706
2020/8/20,3,4709
2020/8/21,0,4709
2020/8/22,2,4711
2020/8/23,0,4711
2020/8/24,0,4711
2020/8/25,1,4712
2020/8/26,1,4713
2020/8/27,2,4715
2020/8/28,3,4718
2020/8/29,3,4721
2020/8/30,1,4722
2020/8/31,1,4723
2020/9/1,1,4724
2020/9/2,3,4727
2020/9/3,1,4728
2020/9/4,0,4728
2020/9/5,0,4728
2020/9/6,2,4730
2020/9/7,2,4732
2020/9/8,1,4733
2020/9/9,0,4733
2020/9/10,0,4733
2020/9/11,0,4733
2020/9/12,1,4734
2020/9/13,0,4734
2020/9/14,1,4735
2020/9/15,1,4736
2020/9/16,0,4736
2020/9/17,0,4736
2020/9/18,1,4737
2020/9/19,0,4737
2020/9/20,0,4737
2020/9/21,0,4737
2020/9/22,0,4737
2020/9/23,1,4738
2020/9/24,0,4738
2020/9/25,1,4739
2020/9/26,0,4739
2020/9/27,0,4739
2020/9/28,0,4739
2020/9/29,0,4739
2020/9/30,0,4739
2020/10/1,0,4739
2020/10/2,0,4739
2020/10/3,0,4739
2020/10/4,0,4739
2020/10/5,0,4739
2020/10/6,0,4739
2020/10/7,0,4739
2020/10/8,0,4739
2020/10/9,0,4739
2020/10/10,0,4739
2020/10/11,0,4739
2020/10/12,0,4739
2020/10/13,0,4739
2020/10/14,0,4739
2020/10/15,0,4739
2020/10/16,0,4739
2020/10/17,0,4739
2020/10/18,0,4739
2020/10/19,0,4739
2020/10/20,0,4739
2020/10/21,0,4739
2020/10/22,0,4739
2020/10/23,0,4739
2020/10/24,0,4739
2020/10/25,0,4739
2020/10/26,0,4739
2020/10/27,0,4739
2020/10/28,0,4739
2020/10/29,0,4739
2020/10/30,0,4739
2020/10/31,0,4739
2020/11/1,0,4739
2020/11/2,0,4739
2020/11/3,0,4739
2020/11/4,1,4740
2020/11/5,1,4741
2020/11/6,0,4741
2020/11/7,0,4741
2020/11/8,0,4741
2020/11/9,0,4741
2020/11/10,1,4742
2020/11/11,0,4742
2020/11/12,0,4742
2020/11/13,0,4742
2020/11/14,0,4742
2020/11/15,0,4742
2020/11/16,0,4742
2020/11/17,0,4742
2020/11/18,0,4742
2020/11/19,0,4742
2020/11/20,0,4742
2020/11/21,0,4742
2020/11/22,0,4742
2020/11/23,0,4742
2020/11/24,0,4742
2020/11/25,0,4742
2020/11/26,0,4742
2020/11/27,0,4742
2020/11/28,1,4743
2020/11/29,0,4743
2020/11/30,0,4743
2020/12/1,0,4743
2020/12/2,1,4744
2020/12/3,1,4745
2020/12/4,1,4746
2020/12/5,0,4746
2020/12/6,0,4746
2020/12/7,0,4746
2020/12/8,0,4746
2020/12/9,2,4748
2020/12/10,0,4748
2020/12/11,0,4748
2020/12/12,1,4749
2020/12/13,2,4751
2020/12/14,3,4754
2020/12/15,3,4757
2020/12/16,0,4757
2020/12/17,2,4759
2020/12/18,4,4763
2020/12/19,0,4763
2020/12/20,1,4764
2020/12/21,1,4765
2020/12/22,1,4766
2020/12/23,1,4767
2020/12/24,2,4769
2020/12/25,1,4770
2020/12/26,0,4770
2020/12/27,1,4771
2020/12/28,4,4775
2020/12/29,2,4777
2020/12/30,4,4781
2020/12/31,1,4782
2021/1/1,0,4782
2021/1/2,2,4784
2021/1/3,0,4784
2021/1/4,3,4787
2021/1/5,0,4787
2021/1/6,1,4788
2021/1/7,0,4788
2021/1/8,1,4789
2021/1/9,2,4791
2021/1/10,1,4792
2021/1/11,1,4793
2021/1/12,1,4794
2021/1/13,2,4796
2021/1/14,0,4796
2021/1/15,0,4796
2021/1/16,1,4797
2021/1/17,0,4797
2021/1/18,1,4798
2021/1/19,2,4800
2021/1/20,1,4801
2021/1/21,2,4803
2021/1/22,0,4803
2021/1/23,0,4803
2021/1/24,1,4804
2021/1/25,3,4807
2021/1/26,2,4809
2021/1/27,2,4811
2021/1/28,2,4813
2021/1/29,1,4814
2021/1/30,1,4815
2021/1/31,2,4817
2021/2/1,1,4818
2021/2/2,2,4820
2021/2/3,1,4821
2021/2/4,1,4822
2021/2/5,0,4822
2021/2/6,0,4822
2021/2/7,0,4822
2021/2/8,0,4822
2021/2/9,2,4824
2021/2/10,1,4825
2021/2/11,2,4827
2021/2/12,1,4828
2021/2/13,1,4829
2021/2/14,0,4829
2021/2/15,0,4829
2021/2/16,2,4831
2021/2/17,2,4833
2021/2/18,0,4833
2021/2/19,0,4833
2021/2/20,0,4833
2021/2/21,0,4833
2021/2/22,0,4833
2021/2/23,0,4833
2021/2/24,1,4834
2021/2/25,0,4834
2021/2/26,0,4834
2021/2/27,0,4834
2021/2/28,1,4835
2021/3/1,1,4836
2021/3/2,0,4836
2021/3/3,0,4836
2021/3/4,1,4837
2021/3/5,0,4837
2021/3/6,1,4838
2021/3/7,0,4838
2021/3/8,0,4838
2021/3/9,0,4838
2021/3/10,1,4839
2021/3/11,0,4839
2021/3/12,0,4839
2021/3/13,0,4839
2021/3/14,0,4839
2021/3/15,0,4839
2021/3/16,0,4839
2021/3/17,0,4839
2021/3/18,0,4839
2021/3/19,0,4839
2021/3/20,0,4839
2021/3/21,0,4839
2021/3/22,0,4839
2021/3/23,1,4840
2021/3/24,0,4840
2021/3/25,0,4840
2021/3/26,1,4841
2021/3/27,0,4841
2021/3/28,0,4841
2021/3/29,0,4841
2021/3/30,0,4841
2021/3/31,0,4841
2021/4/1,0,4841
2021/4/2,0,4841
2021/4/3,0,4841
2021/4/4,0,4841
2021/4/5,0,4841
2021/4/6,0,4841
2021/4/7,0,4841
2021/4/8,0,4841
2021/4/9,2,4843
2021/4/10,0,4843
2021/4/11,0,4843
2021/4/12,0,4843
2021/4/13,1,4844
2021/4/14,1,4845
2021/4/15,0,4845
2021/4/16,0,4845
2021/4/17,0,4845
2021/4/18,0,4845
2021/4/19,0,4845
2021/4/20,0,4845
2021/4/21,0,4845
2021/4/22,0,4845
2021/4/23,0,4845
2021/4/24,0,4845
2021/4/25,0,4845
2021/4/26,0,4845
2021/4/27,0,4845
2021/4/28,0,4845
2021/4/29,0,4845
2021/4/30,0,4845
