date,new_deaths,cumulative_deaths
2020/3/27,1,1
2020/3/28,0,1
2020/3/29,1,2
2020/3/30,1,3
2020/3/31,2,5
2020/4/1,0,5
2020/4/2,0,5
2020/4/3,4,9
2020/4/4,0,9
2020/4/5,2,11
2020/4/6,1,12
2020/4/7,1,13
2020/4/8,5,18
2020/4/9,0,18
2020/4/10,6,24
2020/4/11,1,25
2020/4/12,0,25
2020/4/13,2,27
2020/4/14,0,27
2020/4/15,7,34
2020/4/16,14,48
2020/4/17,2,50
2020/4/18,2,52
2020/4/19,2,54
2020/4/20,4,58
2020/4/21,0,58
2020/4/22,7,65
2020/4/23,10,75
2020/4/24,4,79
2020/4/25,7,86
2020/4/26,1,87
2020/4/27,3,90
2020/4/28,3,93
2020/4/29,10,103
2020/4/30,0,103
2020/5/1,13,116
2020/5/2,7,123
2020/5/3,8,131
2020/5/4,7,138
2020/5/5,10,148
2020/5/6,5,153
2020/5/7,8,161
2020/5/8,17,178
2020/5/9,8,186
2020/5/10,8,194
2020/5/11,12,206
2020/5/12,0,206
2020/5/13,13,219
2020/5/14,19,238
2020/5/15,9,247
2020/5/16,14,261
2020/5/17,3,264
2020/5/18,22,286
2020/5/19,26,312
2020/5/20,27,339
2020/5/21,30,369
2020/5/22,28,397
2020/5/23,10,407
2020/5/24,22,429
2020/5/25,52,481
2020/5/26,43,524
2020/5/27,28,552
2020/5/28,25,577
2020/5/29,34,611
2020/5/30,32,643
2020/5/31,40,683
2020/6/1,22,705
2020/6/2,50,755
2020/6/3,37,792
2020/6/4,56,848
2020/6/5,60,908
2020/6/6,44,952
2020/6/7,46,998
2020/6/8,82,1080
2020/6/9,82,1162
2020/6/10,48,1210
2020/6/11,74,1284
2020/6/12,70,1354
2020/6/13,69,1423
2020/6/14,57,1480
2020/6/15,88,1568
2020/6/16,57,1625
2020/6/17,49,1674
2020/6/18,63,1737
2020/6/19,94,1831
2020/6/20,46,1877
2020/6/21,53,1930
2020/6/22,61,1991
2020/6/23,111,2102
2020/6/24,103,2205
2020/6/25,87,2292
2020/6/26,48,2340
2020/6/27,73,2413
2020/6/28,43,2456
2020/6/29,73,2529
2020/6/30,128,2657
2020/7/1,92,2749
2020/7/2,95,2844
2020/7/3,108,2952
2020/7/4,74,3026
2020/7/5,173,3199
2020/7/6,111,3310
2020/7/7,192,3502
2020/7/8,100,3602
2020/7/9,118,3720
2020/7/10,140,3860
2020/7/11,111,3971
2020/7/12,108,4079
2020/7/13,93,4172
2020/7/14,174,4346
2020/7/15,107,4453
2020/7/16,216,4669
2020/7/17,135,4804
2020/7/18,144,4948
2020/7/19,85,5033
2020/7/20,140,5173
2020/7/21,195,5368
2020/7/22,572,5940
2020/7/23,153,6093
2020/7/24,250,6343
2020/7/25,312,6655
2020/7/26,114,6769
2020/7/27,298,7067
2020/7/28,190,7257
2020/7/29,240,7497
2020/7/30,315,7812
2020/7/31,193,8005
2020/8/1,148,8153
2020/8/2,213,8366
2020/8/3,173,8539
2020/8/4,345,8884
2020/8/5,414,9298
2020/8/6,306,9604
2020/8/7,305,9909
2020/8/8,301,10210
2020/8/9,198,10408
2020/8/10,213,10621
2020/8/11,130,10751
2020/8/12,259,11010
2020/8/13,260,11270
2020/8/14,286,11556
2020/8/15,121,11677
