date,new_deaths,cumulative_deaths
2020/3/6,1,1
2020/3/7,1,2
2020/3/8,0,2
2020/3/9,1,3
2020/3/10,4,7
2020/3/11,0,7
2020/3/12,2,9
2020/3/13,1,10
2020/3/14,19,29
2020/3/15,14,43
2020/3/16,23,66
2020/3/17,17,83
2020/3/18,35,118
2020/3/19,46,164
2020/3/20,32,196
2020/3/21,58,254
2020/3/22,35,289
2020/3/23,76,365
2020/3/24,148,513
2020/3/25,191,704
2020/3/26,182,886
2020/3/27,288,1174
2020/3/28,292,1466
2020/3/29,213,1679
2020/3/30,374,2053
2020/3/31,404,2457
2020/4/1,673,3130
2020/4/2,657,3787
2020/4/3,737,4524
2020/4/4,757,5281
2020/4/5,601,5882
2020/4/6,570,6452
2020/4/7,1105,7557
2020/4/8,1032,8589
2020/4/9,1117,9706
2020/4/10,1123,10829
2020/4/11,844,11673
2020/4/12,657,12330
2020/4/13,725,13055
2020/4/14,1080,14135
2020/4/15,884,15019
2020/4/16,1040,16059
2020/4/17,914,16973
2020/4/18,1108,18081
2020/4/19,433,18514
2020/4/20,576,19090
2020/4/21,1224,20314
2020/4/22,857,21171
2020/4/23,684,21855
2020/4/24,1018,22873
2020/4/25,816,23689
2020/4/26,364,24053
2020/4/27,323,24376
2020/4/28,971,25347
2020/4/29,771,26118
2020/4/30,636,26754
2020/5/1,700,27454
2020/5/2,585,28039
2020/5/3,253,28292
2020/5/4,273,28565
2020/5/5,725,29290
2020/5/6,647,29937
2020/5/7,458,30395
2020/5/8,580,30975
2020/5/9,275,31250
2020/5/10,217,31467
2020/5/11,188,31655
2020/5/12,615,32270
2020/5/13,448,32718
2020/5/14,353,33071
2020/5/15,351,33422
2020/5/16,411,33833
2020/5/17,67,33900
2020/5/18,146,34046
2020/5/19,501,34547
2020/5/20,329,34876
2020/5/21,273,35149
2020/5/22,291,35440
2020/5/23,220,35660
2020/5/24,379,36039
2020/5/25,104,36143
2020/5/26,131,36274
2020/5/27,422,36696
2020/5/28,343,37039
2020/5/29,274,37313
2020/5/30,154,37467
2020/5/31,60,37527
2020/6/1,86,37613
2020/6/2,250,37863
2020/6/3,254,38117
2020/6/4,130,38247
2020/6/5,258,38505
2020/6/6,143,38648
2020/6/7,54,38702
2020/6/8,47,38749
2020/6/9,197,38946
