date,new_deaths,cumulative_deaths
2020/1/23,0,0
2020/1/24,0,0
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,1,1
2020/3/1,0,1
2020/3/2,5,6
2020/3/3,1,7
2020/3/4,4,11
2020/3/5,1,12
2020/3/6,2,14
2020/3/7,3,17
2020/3/8,4,21
2020/3/9,1,22
2020/3/10,6,28
2020/3/11,5,33
2020/3/12,10,43
2020/3/13,8,51
2020/3/14,7,58
2020/3/15,12,70
2020/3/16,27,97
2020/3/17,37,134
2020/3/18,60,194
2020/3/19,72,266
2020/3/20,106,372
2020/3/21,103,475
2020/3/22,128,603
2020/3/23,189,792
2020/3/24,241,1033
2020/3/25,336,1369
2020/3/26,416,1785
2020/3/27,526,2311
2020/3/28,674,2985
2020/3/29,592,3577
2020/3/30,711,4288
2020/3/31,1082,5370
2020/4/1,1285,6655
2020/4/2,1515,8170
2020/4/3,1430,9600
2020/4/4,1565,11165
2020/4/5,1618,12783
2020/4/6,1773,14556
2020/4/7,2572,17128
2020/4/8,2159,19287
2020/4/9,2213,21500
2020/4/10,2197,23697
2020/4/11,2124,25821
2020/4/12,1874,27695
2020/4/13,2011,29706
2020/4/14,2452,32158
2020/4/15,2608,34766
2020/4/16,2150,36916
2020/4/17,2113,39029
2020/4/18,1977,41006
2020/4/19,1979,42985
2020/4/20,2229,45214
2020/4/21,2512,47726
2020/4/22,2458,50184
2020/4/23,2457,52641
2020/4/24,2188,54829
2020/4/25,1716,56545
2020/4/26,1406,57951
2020/4/27,1520,59471
2020/4/28,2223,61694
2020/4/29,2411,64105
2020/4/30,2187,66292
2020/5/1,1914,68206
2020/5/2,1732,69938
2020/5/3,1197,71135
2020/5/4,1391,72526
2020/5/5,2216,74742
2020/5/6,2307,77049
2020/5/7,1924,78973
2020/5/8,1758,80731
2020/5/9,1463,82194
2020/5/10,987,83181
2020/5/11,1044,84225
2020/5/12,1599,85824
2020/5/13,1726,87550
