date,hosp_patients,hosp_patients_per_million
2020/3/9,4,0.106
2020/3/10,5,0.132
2020/3/11,5,0.132
2020/3/12,5,0.132
2020/3/13,7,0.185
2020/3/14,9,0.238
2020/3/15,9,0.238
2020/3/16,17,0.45
2020/3/17,22,0.583
2020/3/18,31,0.821
2020/3/19,42,1.113
2020/3/20,52,1.378
2020/3/21,68,1.802
2020/3/22,76,2.014
2020/3/23,103,2.729
2020/3/24,153,4.054
2020/3/25,176,4.663
2020/3/26,216,5.723
2020/3/27,260,6.889
2020/3/28,294,7.79
2020/3/29,329,8.717
2020/3/30,406,10.757
2020/3/31,482,12.771
2020/4/1,526,13.937
2020/4/2,993,26.31
2020/4/3,1129,29.913
2020/4/4,1216,32.219
2020/4/5,1272,33.702
2020/4/6,1351,35.796
2020/4/7,1430,37.889
2020/4/8,1467,38.869
2020/4/9,1538,40.75
2020/4/10,1629,43.161
2020/4/11,1696,44.936
2020/4/12,1792,47.48
2020/4/13,1872,49.6
2020/4/14,1936,51.295
2020/4/15,2006,53.15
2020/4/16,2048,54.263
2020/4/17,2131,56.462
2020/4/18,2182,57.813
2020/4/19,2132,56.489
2020/4/20,2188,57.972
2020/4/21,2305,61.072
2020/4/22,2369,62.768
2020/4/23,2517,66.689
2020/4/24,2582,68.412
2020/4/25,2649,70.187
2020/4/26,2676,70.902
2020/4/27,2713,71.882
2020/4/28,2807,74.373
2020/4/29,2847,75.433
2020/4/30,2903,76.917
2020/5/1,2953,78.241
2020/5/2,2926,77.526
2020/5/3,2974,78.798
2020/5/4,2969,78.665
2020/5/5,3078,81.553
2020/5/6,3083,81.686
2020/5/7,3078,81.553
2020/5/8,3070,81.341
2020/5/9,3054,80.917
2020/5/10,2987,79.142
2020/5/11,3057,80.997
2020/5/12,3056,80.97
2020/5/13,3079,81.58
2020/5/14,3041,80.573
2020/5/15,2975,78.824
2020/5/16,2899,76.811
2020/5/17,2856,75.671
2020/5/18,2896,76.731
2020/5/19,2678,70.955
2020/5/20,2654,70.319
2020/5/21,2637,69.869
2020/5/22,2585,68.491
2020/5/23,2504,66.345
2020/5/24,2448,64.861
2020/5/25,2415,63.987
2020/5/26,2381,63.086
2020/5/27,2354,62.371
2020/5/28,2292,60.728
2020/5/29,2223,58.9
2020/5/30,2137,56.621
2020/5/31,2116,56.065
2020/6/1,2099,55.614
2020/6/2,2107,55.826
2020/6/3,2063,54.66
2020/6/4,1972,52.249
2020/6/5,1891,50.103
2020/6/6,1763,46.712
2020/6/7,1716,45.466
2020/6/8,1689,44.751
2020/6/9,1668,44.195
2020/6/10,1596,42.287
2020/6/11,1515,40.141
2020/6/12,1479,39.187
2020/6/13,1395,36.961
2020/6/14,1317,34.895
2020/6/15,1304,34.55
2020/6/16,1246,33.013
2020/6/17,1186,31.424
2020/6/18,1097,29.066
2020/6/19,1019,26.999
2020/6/20,972,25.754
2020/6/21,912,24.164
2020/6/22,891,23.608
2020/6/23,912,24.164
2020/6/24,886,23.475
2020/6/25,869,23.025
2020/6/26,846,22.415
2020/6/27,818,21.673
2020/6/28,774,20.508
2020/6/29,792,20.984
2020/6/30,756,20.031
2020/7/1,740,19.607
2020/7/2,635,16.825
2020/7/3,649,17.196
2020/7/4,632,16.745
2020/7/5,615,16.295
2020/7/6,597,15.818
2020/7/7,582,15.42
2020/7/8,556,14.732
2020/7/9,526,13.937
2020/7/10,527,13.963
2020/7/11,529,14.016
2020/7/12,514,13.619
2020/7/13,499,13.221
2020/7/14,530,14.043
2020/7/15,503,13.327
2020/7/16,491,13.009
2020/7/17,483,12.797
2020/7/18,470,12.453
2020/7/19,477,12.638
2020/7/20,488,12.93
2020/7/21,496,13.142
2020/7/22,496,13.142
2020/7/23,511,13.539
2020/7/24,484,12.824
2020/7/25,425,11.261
2020/7/26,398,10.545
2020/7/27,401,10.625
2020/7/28,412,10.916
2020/7/29,403,10.678
2020/7/30,411,10.89
2020/7/31,379,10.042
2020/8/1,366,9.697
2020/8/2,358,9.485
2020/8/3,359,9.512
2020/8/4,363,9.618
2020/8/5,341,9.035
2020/8/6,346,9.167
2020/8/7,328,8.691
2020/8/8,314,8.32
2020/8/9,311,8.24
2020/8/10,302,8.002
2020/8/11,286,7.578
2020/8/12,273,7.233
2020/8/13,268,7.101
2020/8/14,271,7.18
2020/8/15,265,7.021
2020/8/16,263,6.968
2020/8/17,245,6.491
2020/8/18,256,6.783
2020/8/19,259,6.862
2020/8/20,247,6.544
2020/8/21,238,6.306
2020/8/22,232,6.147
2020/8/23,226,5.988
2020/8/24,229,6.067
2020/8/25,236,6.253
2020/8/26,233,6.173
2020/8/27,243,6.438
2020/8/28,253,6.703
2020/8/29,243,6.438
2020/8/30,242,6.412
2020/8/31,247,6.544
2020/9/1,273,7.233
2020/9/2,268,7.101
2020/9/3,254,6.73
2020/9/4,260,6.889
2020/9/5,245,6.491
2020/9/6,246,6.518
2020/9/7,252,6.677
2020/9/8,250,6.624
2020/9/9,263,6.968
2020/9/10,270,7.154
2020/9/11,276,7.313
2020/9/12,273,7.233
2020/9/13,270,7.154
2020/9/14,281,7.445
2020/9/15,298,7.896
2020/9/16,285,7.551
2020/9/17,302,8.002
2020/9/18,313,8.293
2020/9/19,318,8.426
2020/9/20,325,8.611
2020/9/21,342,9.061
2020/9/22,380,10.068
2020/9/23,408,10.81
2020/9/24,411,10.89
2020/9/25,426,11.287
2020/9/26,456,12.082
2020/9/27,467,12.373
2020/9/28,494,13.089
2020/9/29,540,14.308
2020/9/30,572,15.155
2020/10/1,594,15.738
2020/10/2,622,16.48
2020/10/3,629,16.666
2020/10/4,653,17.302
2020/10/5,691,18.308
