date,hosp_patients,hosp_patients_per_million
2020/3/27,7267,107.047
2020/3/28,8278,121.94
2020/3/29,9525,140.309
2020/3/30,11093,163.406
2020/3/31,12597,185.561
2020/4/1,13637,200.881
2020/4/2,13875,204.387
2020/4/3,15546,229.002
2020/4/4,17502,257.815
2020/4/5,18855,277.745
2020/4/6,19493,287.143
2020/4/7,20234,298.058
2020/4/8,20740,305.512
2020/4/9,21005,309.416
2020/4/10,21280,313.467
2020/4/11,21254,313.084
2020/4/12,21687,319.462
2020/4/13,21308,313.879
2020/4/14,21281,313.481
2020/4/15,20582,303.185
2020/4/16,20389,300.342
2020/4/17,19330,284.742
2020/4/18,19456,286.598
2020/4/19,19574,288.336
2020/4/20,19331,284.757
2020/4/21,19139,281.929
2020/4/22,18533,273.002
2020/4/23,17867,263.191
2020/4/24,17063,251.348
2020/4/25,16604,244.586
2020/4/26,16555,243.865
2020/4/27,16662,245.441
2020/4/28,15877,233.877
2020/4/29,15521,228.633
2020/4/30,15164,223.374
2020/5/1,14723,216.878
2020/5/2,14380,211.826
2020/5/3,14188,208.997
2020/5/4,14097,207.657
2020/5/5,13723,202.148
2020/5/6,13148,193.678
2020/5/7,12626,185.988
2020/5/8,12053,177.548
2020/5/9,12015,176.988
2020/5/10,11727,172.745
2020/5/11,11967,176.281
2020/5/12,11591,170.742
2020/5/13,11342,167.074
2020/5/14,10921,160.873
2020/5/15,10691,157.485
2020/5/16,10238,150.812
2020/5/17,10199,150.237
2020/5/18,10231,150.709
2020/5/19,10013,147.497
2020/5/20,9563,140.869
2020/5/21,9293,136.891
2020/5/22,9184,135.286
2020/5/23,8814,129.835
2020/5/24,8814,129.835
2020/5/25,8836,130.159
2020/5/26,8732,128.627
2020/5/27,8220,121.085
2020/5/28,7907,116.475
2020/5/29,7586,111.746
2020/5/30,7268,107.062
2020/5/31,7238,106.62
2020/6/1,7248,106.767
2020/6/2,7087,104.396
2020/6/3,6815,100.389
2020/6/4,6580,96.927
2020/6/5,6379,93.966
2020/6/6,6149,90.578
2020/6/7,5944,87.559
2020/6/8,5931,87.367
2020/6/9,5737,84.509
2020/6/10,5476,80.665
2020/6/11,5180,76.304
2020/6/12,5090,74.979
2020/6/13,4941,72.784
2020/6/14,4908,72.298
2020/6/15,4870,71.738
2020/6/16,4863,71.635
2020/6/17,4719,69.514
2020/6/18,4560,67.171
2020/6/19,4414,65.021
2020/6/20,4252,62.634
2020/6/21,4222,62.192
2020/6/22,4281,63.062
2020/6/23,4134,60.896
2020/6/24,4030,59.364
2020/6/25,3850,56.713
2020/6/26,3620,53.325
2020/6/27,3544,52.205
2020/6/28,3557,52.397
2020/6/29,3748,55.21
2020/6/30,3383,49.834
2020/7/1,3198,47.108
2020/7/2,3079,45.355
2020/7/3,2942,43.337
2020/7/4,2802,41.275
2020/7/5,2741,40.377
2020/7/6,2699,39.758
2020/7/7,2598,38.27
2020/7/8,2454,36.149
2020/7/9,2344,34.528
2020/7/10,2243,33.041
2020/7/11,2118,31.199
2020/7/12,2100,30.934
2020/7/13,2112,31.111
2020/7/14,1993,29.358
2020/7/15,1974,29.078
2020/7/16,1829,26.942
2020/7/17,1804,26.574
2020/7/18,1776,26.162
2020/7/19,1742,25.661
2020/7/20,1734,25.543
2020/7/21,1634,24.07
2020/7/22,1747,25.734
2020/7/23,1538,22.656
2020/7/24,1453,21.404
2020/7/25,1401,20.638
2020/7/26,1383,20.372
2020/7/27,1370,20.181
2020/7/28,1369,20.166
2020/7/29,1350,19.886
2020/7/30,1314,19.356
2020/7/31,1266,18.649
2020/8/1,1290,19.002
2020/8/2,1254,18.472
2020/8/3,1251,18.428
2020/8/4,1216,17.912
2020/8/5,1200,17.677
2020/8/6,1155,17.014
2020/8/7,1094,16.115
2020/8/8,1027,15.128
2020/8/9,983,14.48
2020/8/10,1087,16.012
2020/8/11,1039,15.305
2020/8/12,1004,14.789
2020/8/13,1008,14.848
2020/8/14,995,14.657
2020/8/15,974,14.348
2020/8/16,979,14.421
2020/8/17,982,14.465
2020/8/18,953,14.038
2020/8/19,924,13.611
2020/8/20,909,13.39
2020/8/21,888,13.081
2020/8/22,943,13.891
2020/8/23,870,12.816
2020/8/24,876,12.904
2020/8/25,844,12.433
2020/8/26,829,12.212
2020/8/27,840,12.374
2020/8/28,818,12.05
2020/8/29,833,12.271
2020/8/30,831,12.241
2020/8/31,854,12.58
2020/9/1,861,12.683
2020/9/2,803,11.829
2020/9/3,817,12.035
2020/9/4,818,12.05
2020/9/5,812,11.961
2020/9/6,817,12.035
2020/9/7,902,13.287
2020/9/8,894,13.169
2020/9/9,924,13.611
2020/9/10,944,13.906
2020/9/11,770,11.343
2020/9/12,812,11.961
2020/9/13,843,12.418
2020/9/14,982,14.465
2020/9/15,1066,15.703
2020/9/16,1106,16.292
2020/9/17,1162,17.117
2020/9/18,1221,17.986
2020/9/19,1300,19.15
2020/9/20,1398,20.593
2020/9/21,1558,22.95
2020/9/22,1636,24.099
2020/9/23,1730,25.484
2020/9/24,1846,27.193
2020/9/25,2020,29.756
2020/9/26,2033,29.947
2020/9/27,2188,32.231
2020/9/28,2399,35.339
2020/9/29,2420,35.648
2020/9/30,2530,37.268
2020/10/1,2592,38.182
2020/10/2,2723,40.111
2020/10/3,2867,42.233
2020/10/4,3056,45.017
2020/10/5,3370,49.642
2020/10/6,3642,53.649
2020/10/7,3893,57.346
2020/10/8,4085,60.174
2020/10/9,4170,61.427
2020/10/10,4358,64.196
2020/10/11,4670,68.792
2020/10/12,4959,73.049
2020/10/13,5293,77.969
2020/10/14,5598,82.462
2020/10/15,5933,87.397
2020/10/16,6296,92.744
2020/10/17,6545,96.412
2020/10/18,6829,100.595
2020/10/19,7334,108.034
2020/10/20,7852,115.664
2020/10/21,8132,119.789
2020/10/22,8311,122.426
2020/10/23,8886,130.896
2020/10/24,9262,136.435
2020/10/25,9786,144.153
2020/10/26,10108,148.897
2020/10/27,10938,161.123
2020/10/28,11434,168.429
2020/10/29,11583,170.624
2020/10/30,11788,173.644
2020/10/31,12310,181.333
2020/11/1,12230,180.155
2020/11/2,13105,193.044
2020/11/3,13749,202.531
2020/11/4,13817,203.532
2020/11/5,13796,203.223
2020/11/6,13958,205.609
2020/11/7,14314,210.853
2020/11/8,14546,214.271
2020/11/9,15141,223.036
2020/11/10,14964,220.428
2020/11/11,15666,230.769
2020/11/12,15879,233.907
2020/11/13,16236,239.166
2020/11/14,16299,240.094
2020/11/15,16864,248.416
2020/11/16,17313,255.03
2020/11/17,17439,256.887
2020/11/18,17486,257.579
2020/11/19,17459,257.181
2020/11/20,17184,253.13
2020/11/21,17063,251.348
2020/11/22,17264,254.309
2020/11/23,17680,260.437
2020/11/24,17424,256.666
2020/11/25,17132,252.364
2020/11/26,16762,246.914
2020/11/27,16571,244.1
2020/11/28,15985,235.468
2020/11/29,16312,240.285
2020/11/30,16564,243.997
2020/12/1,16311,240.27
2020/12/2,15976,235.336
2020/12/3,15658,230.651
2020/12/4,15727,231.668
2020/12/5,15688,231.093
2020/12/6,15960,235.1
2020/12/7,16415,241.802
2020/12/8,16477,242.716
2020/12/9,16331,240.565
2020/12/10,16723,246.339
2020/12/11,16885,248.726
2020/12/12,16909,249.079
2020/12/13,17538,258.345
2020/12/14,18246,268.774
2020/12/15,18216,268.332
2020/12/16,18671,275.035
2020/12/17,18970,279.439
2020/12/18,19117,281.604
2020/12/19,19463,286.701
2020/12/20,20004,294.67
2020/12/21,21133,311.301
2020/12/22,21488,316.531
2020/12/23,21222,312.612
2020/12/24,21577,317.842
2020/12/25,20918,308.134
2020/12/26,21730,320.095
2020/12/27,22764,335.327
2020/12/28,24049,354.256
2020/12/29,25549,376.352
2020/12/30,26551,391.112
2020/12/31,26578,391.509
2021/1/1,26389,388.725
2021/1/2,27561,405.989
2021/1/3,29033,427.673
2021/1/4,30775,453.334
2021/1/5,30686,452.022
2021/1/6,31946,470.583
2021/1/7,32583,479.966
2021/1/8,33778,497.569
2021/1/9,34032,501.311
2021/1/10,35391,521.33
2021/1/11,36751,541.363
2021/1/12,36981,544.751
2021/1/13,37487,552.205
2021/1/14,37691,555.21
2021/1/15,38132,561.706
2021/1/16,37715,555.564
2021/1/17,38169,562.251
2021/1/18,39254,578.234
2021/1/19,38846,572.224
2021/1/20,38739,570.648
2021/1/21,38059,560.631
2021/1/22,38257,563.548
2021/1/23,37398,550.894
2021/1/24,37730,555.785
2021/1/25,37756,556.168
2021/1/26,37101,546.519
2021/1/27,35513,523.127
2021/1/28,34909,514.23
2021/1/29,33847,498.586
2021/1/30,33015,486.33
2021/1/31,32587,480.025
2021/2/1,32961,485.535
2021/2/2,31767,467.946
2021/2/3,30605,450.829
2021/2/4,29414,433.285
2021/2/5,28384,418.113
2021/2/6,26915,396.473
2021/2/7,26801,394.794
2021/2/8,26744,393.955
2021/2/9,25689,378.414
2021/2/10,24417,359.676
2021/2/11,23411,344.858
2021/2/12,22324,328.845
2021/2/13,20970,308.9
2021/2/14,21054,310.138
2021/2/15,20994,309.254
2021/2/16,20215,297.779
2021/2/17,19449,286.495
2021/2/18,18522,272.84
2021/2/19,17860,263.088
2021/2/20,17042,251.038
2021/2/21,16857,248.313
2021/2/22,16855,248.284
2021/2/23,16115,237.383
2021/2/24,15534,228.825
2021/2/25,14849,218.734
2021/2/26,14077,207.362
2021/2/27,13269,195.46
2021/2/28,12788,188.375
2021/3/1,12894,189.936
2021/3/2,12139,178.814
2021/3/3,11523,169.74
2021/3/4,10933,161.049
2021/3/5,10312,151.902
2021/3/6,9711,143.049
2021/3/7,9459,139.337
2021/3/8,9474,139.557
2021/3/9,9009,132.708
2021/3/10,8436,124.267
2021/3/11,8066,118.817
2021/3/12,7728,113.838
2021/3/13,7384,108.771
2021/3/14,7315,107.754
2021/3/15,7207,106.163
2021/3/16,6847,100.86
2021/3/17,6585,97.001
2021/3/18,6150,90.593
2021/3/19,5880,86.616
2021/3/20,5567,82.005
2021/3/21,5448,80.252
2021/3/22,5431,80.002
2021/3/23,5150,75.862
2021/3/24,4880,71.885
2021/3/25,4583,67.51
2021/3/26,4485,66.067
2021/3/27,4436,65.345
2021/3/28,4185,61.647
2021/3/29,4197,61.824
2021/3/30,3976,58.569
2021/3/31,3742,55.122
2021/4/1,3557,52.397
2021/4/2,3376,49.73
2021/4/3,3244,47.786
2021/4/4,3229,47.565
2021/4/5,3255,47.948
2021/4/6,3143,46.298
