date,hosp_patients,hosp_patients_per_million
2020/7/15,33757,101.984
2020/7/16,38534,116.416
2020/7/17,40060,121.026
2020/7/18,40399,122.05
2020/7/19,37899,114.498
2020/7/20,41140,124.289
2020/7/21,42192,127.467
2020/7/22,46136,139.383
2020/7/23,47615,143.851
2020/7/24,46780,141.328
2020/7/25,51601,155.893
2020/7/26,43018,129.963
2020/7/27,46968,141.896
2020/7/28,47954,144.875
2020/7/29,45460,137.34
2020/7/30,46672,141.002
2020/7/31,46007,138.993
2020/8/1,50265,151.857
2020/8/2,50116,151.407
2020/8/3,45366,137.056
2020/8/4,45159,136.431
2020/8/5,44693,135.023
2020/8/6,43900,132.627
2020/8/7,43230,130.603
2020/8/8,41626,125.757
2020/8/9,41521,125.44
2020/8/10,42060,127.068
2020/8/11,41677,125.911
2020/8/12,41859,126.461
2020/8/13,41016,123.914
2020/8/14,40022,120.911
2020/8/15,38721,116.981
2020/8/16,38872,117.437
2020/8/17,39066,118.023
2020/8/18,38919,117.579
2020/8/19,38025,114.878
2020/8/20,37336,112.797
2020/8/21,35724,107.927
2020/8/22,34919,105.495
2020/8/23,34640,104.652
2020/8/24,34807,105.156
2020/8/25,34530,104.319
2020/8/26,33649,101.658
2020/8/27,33306,100.622
2020/8/28,31933,96.474
2020/8/29,31210,94.289
2020/8/30,31110,93.987
2020/8/31,31429,94.951
2020/9/1,31147,94.099
2020/9/2,30862,93.238
2020/9/3,30322,91.607
2020/9/4,29913,90.371
2020/9/5,28882,87.256
2020/9/6,28355,85.664
2020/9/7,28570,86.314
2020/9/8,28934,87.413
2020/9/9,28760,86.888
2020/9/10,28000,84.591
2020/9/11,27349,82.625
2020/9/12,26488,80.024
2020/9/13,26304,79.468
2020/9/14,26770,80.875
2020/9/15,26918,81.323
2020/9/16,26358,79.631
2020/9/17,26073,78.77
2020/9/18,25822,78.011
2020/9/19,25488,77.002
2020/9/20,25545,77.175
2020/9/21,26378,79.691
2020/9/22,26421,79.821
2020/9/23,26501,80.063
2020/9/24,26423,79.827
2020/9/25,26291,79.428
2020/9/26,25907,78.268
2020/9/27,25973,78.468
2020/9/28,27019,81.628
2020/9/29,27503,83.09
2020/9/30,27666,83.582
2020/10/1,27471,82.993
2020/10/2,27408,82.803
2020/10/3,27268,82.38
2020/10/4,27868,84.193
2020/10/5,28947,87.452
2020/10/6,29990,90.604
2020/10/7,30524,92.217
2020/10/8,30997,93.646
2020/10/9,31197,94.25
2020/10/10,30979,93.591
2020/10/11,31429,94.951
2020/10/12,32758,98.966
2020/10/13,33498,101.202
2020/10/14,33899,102.413
2020/10/15,34379,103.863
2020/10/16,34630,104.622
2020/10/17,34312,103.661
2020/10/18,35003,105.748
2020/10/19,36430,110.06
2020/10/20,37397,112.981
2020/10/21,38100,115.105
2020/10/22,38836,117.328
2020/10/23,39071,118.038
2020/10/24,39329,118.818
2020/10/25,39978,120.778
2020/10/26,41323,124.842
2020/10/27,42266,127.691
2020/10/28,43656,131.89
2020/10/29,44401,134.141
2020/10/30,45119,136.31
2020/10/31,45142,136.38
2020/11/1,46095,139.259
2020/11/2,47976,144.941
2020/11/3,49099,148.334
2020/11/4,50458,152.44
2020/11/5,51770,156.404
2020/11/6,52823,159.585
2020/11/7,53806,162.555
2020/11/8,55701,168.28
2020/11/9,58472,176.651
2020/11/10,61411,185.53
2020/11/11,63324,191.31
2020/11/12,65209,197.004
2020/11/13,66091,199.669
2020/11/14,67209,203.047
2020/11/15,69510,209.998
2020/11/16,73094,220.826
2020/11/17,75492,228.071
2020/11/18,77313,233.572
2020/11/19,78339,236.672
2020/11/20,79731,240.877
2020/11/21,79849,241.234
2020/11/22,81782,247.074
2020/11/23,84161,254.261
2020/11/24,86023,259.886
2020/11/25,87107,263.161
2020/11/26,86543,261.457
2020/11/27,88094,266.143
2020/11/28,89594,270.675
2020/11/29,92444,279.285
2020/11/30,95093,287.288
2020/12/1,96670,292.052
2020/12/2,97830,295.557
2020/12/3,97838,295.581
2020/12/4,98129,296.46
2020/12/5,97232,293.75
2020/12/6,98642,298.01
2020/12/7,101014,305.176
2020/12/8,102293,309.04
2020/12/9,104360,315.284
2020/12/10,105033,317.318
2020/12/11,105634,319.133
2020/12/12,105337,318.236
2020/12/13,107383,324.417
2020/12/14,109674,331.339
2020/12/15,110978,335.278
2020/12/16,111984,338.318
2020/12/17,112422,339.641
2020/12/18,112091,338.641
2020/12/19,111066,335.544
2020/12/20,112375,339.499
2020/12/21,114615,346.266
2020/12/22,117492,354.958
2020/12/23,118075,356.719
2020/12/24,116237,351.166
2020/12/25,113455,342.762
2020/12/26,115483,348.888
2020/12/27,118953,359.372
2020/12/28,121394,366.746
2020/12/29,122629,370.477
2020/12/30,123884,374.269
2020/12/31,123314,372.547
2021/1/1,121028,365.641
2021/1/2,122642,370.517
