date,icu_patients,icu_patients_per_million
2020/3/9,0,0
2020/3/10,0,0
2020/3/11,0,0
2020/3/12,0,0
2020/3/13,1,0.026
2020/3/14,2,0.053
2020/3/15,2,0.053
2020/3/16,2,0.053
2020/3/17,6,0.159
2020/3/18,14,0.371
2020/3/19,16,0.424
2020/3/20,24,0.636
2020/3/21,31,0.821
2020/3/22,35,0.927
2020/3/23,44,1.166
2020/3/24,64,1.696
2020/3/25,72,1.908
2020/3/26,82,2.173
2020/3/27,89,2.358
2020/3/28,125,3.312
2020/3/29,142,3.762
2020/3/30,157,4.16
2020/3/31,165,4.372
2020/4/1,174,4.61
2020/4/2,362,9.591
2020/4/3,397,10.519
2020/4/4,424,11.234
2020/4/5,455,12.055
2020/4/6,486,12.877
2020/4/7,505,13.38
2020/4/8,523,13.857
2020/4/9,561,14.864
2020/4/10,542,14.361
2020/4/11,561,14.864
2020/4/12,570,15.102
2020/4/13,576,15.261
2020/4/14,571,15.129
2020/4/15,560,14.838
2020/4/16,540,14.308
2020/4/17,534,14.149
2020/4/18,592,15.685
2020/4/19,516,13.672
2020/4/20,527,13.963
2020/4/21,531,14.069
2020/4/22,518,13.725
2020/4/23,513,13.592
2020/4/24,540,14.308
2020/4/25,533,14.122
2020/4/26,536,14.202
2020/4/27,516,13.672
2020/4/28,521,13.804
2020/4/29,522,13.831
2020/4/30,506,13.407
2020/5/1,514,13.619
2020/5/2,510,13.513
2020/5/3,514,13.619
2020/5/4,510,13.513
2020/5/5,511,13.539
2020/5/6,501,13.274
2020/5/7,506,13.407
2020/5/8,484,12.824
2020/5/9,470,12.453
2020/5/10,457,12.108
2020/5/11,449,11.897
2020/5/12,435,11.526
2020/5/13,436,11.552
2020/5/14,422,11.181
2020/5/15,417,11.049
2020/5/16,404,10.704
2020/5/17,399,10.572
2020/5/18,398,10.545
2020/5/19,402,10.651
2020/5/20,394,10.439
2020/5/21,380,10.068
2020/5/22,369,9.777
2020/5/23,364,9.644
2020/5/24,368,9.75
2020/5/25,375,9.936
2020/5/26,371,9.83
2020/5/27,376,9.962
2020/5/28,358,9.485
2020/5/29,349,9.247
2020/5/30,336,8.903
2020/5/31,342,9.061
2020/6/1,340,9.008
2020/6/2,340,9.008
2020/6/3,333,8.823
2020/6/4,314,8.32
2020/6/5,296,7.843
2020/6/6,290,7.684
2020/6/7,285,7.551
2020/6/8,278,7.366
2020/6/9,273,7.233
2020/6/10,277,7.339
2020/6/11,274,7.26
2020/6/12,260,6.889
2020/6/13,252,6.677
2020/6/14,227,6.014
2020/6/15,227,6.014
2020/6/16,220,5.829
2020/6/17,208,5.511
2020/6/18,193,5.114
2020/6/19,186,4.928
2020/6/20,188,4.981
2020/6/21,193,5.114
2020/6/22,177,4.69
2020/6/23,178,4.716
2020/6/24,170,4.504
2020/6/25,165,4.372
2020/6/26,156,4.133
2020/6/27,148,3.921
2020/6/28,144,3.815
2020/6/29,143,3.789
2020/6/30,128,3.391
2020/7/1,120,3.179
2020/7/2,119,3.153
2020/7/3,117,3.1
2020/7/4,110,2.915
2020/7/5,105,2.782
2020/7/6,100,2.65
2020/7/7,97,2.57
2020/7/8,98,2.597
2020/7/9,97,2.57
2020/7/10,99,2.623
2020/7/11,93,2.464
2020/7/12,93,2.464
2020/7/13,94,2.491
2020/7/14,96,2.544
2020/7/15,89,2.358
2020/7/16,84,2.226
2020/7/17,87,2.305
2020/7/18,88,2.332
2020/7/19,91,2.411
2020/7/20,97,2.57
2020/7/21,93,2.464
2020/7/22,98,2.597
2020/7/23,98,2.597
2020/7/24,90,2.385
2020/7/25,84,2.226
2020/7/26,81,2.146
2020/7/27,80,2.12
2020/7/28,80,2.12
2020/7/29,80,2.12
2020/7/30,86,2.279
2020/7/31,86,2.279
2020/8/1,87,2.305
2020/8/2,90,2.385
2020/8/3,89,2.358
2020/8/4,99,2.623
2020/8/5,99,2.623
2020/8/6,92,2.438
2020/8/7,86,2.279
2020/8/8,90,2.385
2020/8/9,90,2.385
2020/8/10,83,2.199
2020/8/11,82,2.173
2020/8/12,79,2.093
2020/8/13,78,2.067
2020/8/14,78,2.067
2020/8/15,79,2.093
2020/8/16,79,2.093
2020/8/17,73,1.934
2020/8/18,73,1.934
2020/8/19,74,1.961
2020/8/20,74,1.961
2020/8/21,68,1.802
2020/8/22,60,1.59
2020/8/23,54,1.431
2020/8/24,54,1.431
2020/8/25,54,1.431
2020/8/26,53,1.404
2020/8/27,58,1.537
2020/8/28,59,1.563
2020/8/29,62,1.643
2020/8/30,63,1.669
2020/8/31,67,1.775
2020/9/1,72,1.908
2020/9/2,66,1.749
2020/9/3,62,1.643
2020/9/4,65,1.722
2020/9/5,64,1.696
2020/9/6,66,1.749
