date,icu_patients,icu_patients_per_million
2020/4/2,1813,26.707
2020/4/3,2120,31.229
2020/4/4,2309,34.013
2020/4/5,2469,36.37
2020/4/6,2644,38.948
2020/4/7,2864,42.188
2020/4/8,2967,43.706
2020/4/9,2963,43.647
2020/4/10,3228,47.55
2020/4/11,3274,48.228
2020/4/12,3301,48.626
2020/4/13,3277,48.272
2020/4/14,3234,47.639
2020/4/15,3228,47.55
2020/4/16,3222,47.462
2020/4/17,3162,46.578
2020/4/18,3247,47.83
2020/4/19,3176,46.784
2020/4/20,3130,46.107
2020/4/21,3036,44.722
2020/4/22,2964,43.661
2020/4/23,2867,42.233
2020/4/24,2703,39.817
2020/4/25,2702,39.802
2020/4/26,2580,38.005
2020/4/27,2460,36.237
2020/4/28,2353,34.661
2020/4/29,2286,33.674
2020/4/30,2224,32.761
2020/5/1,2178,32.083
2020/5/2,2068,30.463
2020/5/3,2009,29.594
2020/5/4,1936,28.518
2020/5/5,1874,27.605
2020/5/6,1802,26.544
2020/5/7,1685,24.821
2020/5/8,1642,24.188
2020/5/9,1585,23.348
2020/5/10,1538,22.656
2020/5/11,1485,21.875
2020/5/12,1414,20.829
2020/5/13,1342,19.768
2020/5/14,1314,19.356
2020/5/15,1337,19.695
2020/5/16,1234,18.178
2020/5/17,1196,17.618
2020/5/18,1141,16.808
2020/5/19,1106,16.292
2020/5/20,1034,15.231
2020/5/21,1008,14.848
2020/5/22,964,14.2
2020/5/23,928,13.67
2020/5/24,886,13.051
2020/5/25,863,12.712
2020/5/26,847,12.477
2020/5/27,783,11.534
2020/5/28,751,11.063
2020/5/29,719,10.591
2020/5/30,704,10.37
2020/5/31,679,10.002
2020/6/1,652,9.604
2020/6/2,636,9.369
2020/6/3,602,8.868
2020/6/4,571,8.411
2020/6/5,554,8.161
2020/6/6,540,7.955
2020/6/7,515,7.586
2020/6/8,509,7.498
2020/6/9,491,7.233
2020/6/10,439,6.467
2020/6/11,390,5.745
2020/6/12,393,5.789
2020/6/13,390,5.745
2020/6/14,393,5.789
2020/6/15,385,5.671
2020/6/16,378,5.568
2020/6/17,357,5.259
2020/6/18,352,5.185
2020/6/19,330,4.861
2020/6/20,346,5.097
2020/6/21,310,4.566
2020/6/22,340,5.008
2020/6/23,311,4.581
2020/6/24,316,4.655
2020/6/25,276,4.066
2020/6/26,268,3.948
2020/6/27,270,3.977
2020/6/28,270,3.977
2020/6/29,262,3.859
2020/6/30,279,4.11
2020/7/1,259,3.815
2020/7/2,239,3.521
2020/7/3,231,3.403
2020/7/4,221,3.255
2020/7/5,217,3.197
2020/7/6,209,3.079
2020/7/7,197,2.902
2020/7/8,185,2.725
2020/7/9,188,2.769
2020/7/10,191,2.814
2020/7/11,168,2.475
2020/7/12,159,2.342
2020/7/13,162,2.386
2020/7/14,145,2.136
2020/7/15,153,2.254
2020/7/16,142,2.092
2020/7/17,143,2.106
2020/7/18,137,2.018
2020/7/19,131,1.93
2020/7/20,129,1.9
2020/7/21,137,2.018
2020/7/22,110,1.62
2020/7/23,111,1.635
2020/7/24,104,1.532
2020/7/25,93,1.37
2020/7/26,92,1.355
2020/7/27,97,1.429
2020/7/28,93,1.37
2020/7/29,87,1.282
2020/7/30,84,1.237
2020/7/31,86,1.267
2020/8/1,92,1.355
2020/8/2,85,1.252
2020/8/3,77,1.134
2020/8/4,76,1.12
2020/8/5,73,1.075
2020/8/6,69,1.016
2020/8/7,67,0.987
2020/8/8,62,0.913
2020/8/9,65,0.957
2020/8/10,70,1.031
2020/8/11,73,1.075
2020/8/12,80,1.178
2020/8/13,75,1.105
2020/8/14,73,1.075
2020/8/15,76,1.12
2020/8/16,78,1.149
2020/8/17,73,1.075
2020/8/18,73,1.075
2020/8/19,70,1.031
2020/8/20,76,1.12
2020/8/21,72,1.061
2020/8/22,71,1.046
2020/8/23,72,1.061
2020/8/24,68,1.002
2020/8/25,68,1.002
2020/8/26,64,0.943
2020/8/27,71,1.046
2020/8/28,60,0.884
2020/8/29,66,0.972
2020/8/30,68,1.002
2020/8/31,71,1.046
2020/9/1,82,1.208
2020/9/2,81,1.193
2020/9/3,76,1.12
2020/9/4,69,1.016
2020/9/5,67,0.987
2020/9/6,69,1.016
2020/9/7,77,1.134
2020/9/8,80,1.178
2020/9/9,80,1.178
2020/9/10,78,1.149
2020/9/11,143,2.106
2020/9/12,86,1.267
2020/9/13,92,1.355
2020/9/14,105,1.547
2020/9/15,115,1.694
2020/9/16,124,1.827
2020/9/17,127,1.871
2020/9/18,138,2.033
2020/9/19,144,2.121
2020/9/20,165,2.431
2020/9/21,181,2.666
2020/9/22,211,3.108
2020/9/23,228,3.359
2020/9/24,243,3.58
2020/9/25,262,3.859
2020/9/26,261,3.845
2020/9/27,276,4.066
2020/9/28,297,4.375
2020/9/29,314,4.625
2020/9/30,333,4.905
