date,icu_patients,icu_patients_per_million
2020/7/15,9245,27.93
2020/7/16,9797,29.598
2020/7/17,10700,32.326
2020/7/18,10963,33.121
2020/7/19,10271,31.03
2020/7/20,11291,34.112
2020/7/21,11458,34.616
2020/7/22,12487,37.725
2020/7/23,13805,41.707
2020/7/24,13624,41.16
2020/7/25,14285,43.157
2020/7/26,12297,37.151
2020/7/27,14131,42.692
2020/7/28,14489,43.773
2020/7/29,13936,42.102
2020/7/30,14562,43.994
2020/7/31,14518,43.861
2020/8/1,14302,43.208
2020/8/2,13974,42.217
2020/8/3,14228,42.985
2020/8/4,14108,42.622
2020/8/5,14055,42.462
2020/8/6,13883,41.942
2020/8/7,13762,41.577
2020/8/8,13354,40.344
2020/8/9,13158,39.752
2020/8/10,13158,39.752
2020/8/11,13053,39.435
2020/8/12,12863,38.861
2020/8/13,12562,37.951
2020/8/14,12506,37.782
2020/8/15,12236,36.966
2020/8/16,11980,36.193
2020/8/17,11958,36.127
2020/8/18,11949,36.099
2020/8/19,11564,34.936
2020/8/20,11255,34.003
2020/8/21,10925,33.006
2020/8/22,10776,32.556
2020/8/23,10734,32.429
2020/8/24,10694,32.308
2020/8/25,10605,32.039
2020/8/26,10380,31.359
2020/8/27,9900,29.909
2020/8/28,9882,29.855
2020/8/29,9695,29.29
2020/8/30,9548,28.846
2020/8/31,9511,28.734
2020/9/1,9473,28.619
2020/9/2,9361,28.281
2020/9/3,9230,27.885
2020/9/4,9224,27.867
2020/9/5,9087,27.453
2020/9/6,9003,27.199
2020/9/7,8966,27.087
2020/9/8,8965,27.084
2020/9/9,8777,26.516
2020/9/10,8584,25.933
2020/9/11,8524,25.752
2020/9/12,8304,25.087
2020/9/13,8252,24.93
2020/9/14,8259,24.951
2020/9/15,8153,24.631
2020/9/16,8063,24.359
2020/9/17,8015,24.214
2020/9/18,7962,24.054
2020/9/19,7842,23.692
2020/9/20,7847,23.707
2020/9/21,7862,23.752
2020/9/22,7851,23.719
2020/9/23,7865,23.761
2020/9/24,7834,23.667
2020/9/25,7817,23.616
2020/9/26,7798,23.559
2020/9/27,8069,24.377
2020/9/28,7917,23.918
2020/9/29,8045,24.305
2020/9/30,8072,24.387
2020/10/1,8007,24.19
2020/10/2,7958,24.042
2020/10/3,7965,24.063
2020/10/4,8120,24.532
2020/10/5,8333,25.175
2020/10/6,8571,25.894
2020/10/7,8638,26.096
2020/10/8,8624,26.054
2020/10/9,8723,26.353
2020/10/10,8730,26.374
2020/10/11,8819,26.643
2020/10/12,9047,27.332
2020/10/13,9412,28.435
2020/10/14,9291,28.069
2020/10/15,9478,28.634
2020/10/16,9538,28.815
2020/10/17,9516,28.749
2020/10/18,9725,29.38
2020/10/19,10075,30.438
2020/10/20,10214,30.858
2020/10/21,10436,31.528
2020/10/22,10649,32.172
2020/10/23,10708,32.35
2020/10/24,10708,32.35
2020/10/25,10851,32.782
2020/10/26,11108,33.559
2020/10/27,11429,34.528
2020/10/28,11704,35.359
2020/10/29,11885,35.906
2020/10/30,11848,35.794
2020/10/31,11898,35.945
2020/11/1,12128,36.64
2020/11/2,12590,38.036
2020/11/3,12924,39.045
2020/11/4,13002,39.281
2020/11/5,13227,39.96
2020/11/6,13356,40.35
2020/11/7,13478,40.719
2020/11/8,14008,42.32
2020/11/9,14409,43.531
2020/11/10,14836,44.821
