date,recovered_cases,cumulative_recovered
2020/1/22,0,0
2020/1/23,0,0
2020/1/24,0,0
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,2,2
2020/1/31,0,2
2020/2/1,0,2
2020/2/2,0,2
2020/2/3,0,2
2020/2/4,0,2
2020/2/5,0,2
2020/2/6,0,2
2020/2/7,0,2
2020/2/8,0,2
2020/2/9,0,2
2020/2/10,0,2
2020/2/11,0,2
2020/2/12,0,2
2020/2/13,6,8
2020/2/14,0,8
2020/2/15,0,8
2020/2/16,0,8
2020/2/17,2,10
2020/2/18,0,10
2020/2/19,0,10
2020/2/20,0,10
2020/2/21,1,11
2020/2/22,0,11
2020/2/23,0,11
2020/2/24,0,11
2020/2/25,0,11
2020/2/26,0,11
2020/2/27,0,11
2020/2/28,0,11
2020/2/29,0,11
2020/3/1,0,11
2020/3/2,0,11
2020/3/3,0,11
2020/3/4,0,11
2020/3/5,10,21
2020/3/6,0,21
2020/3/7,0,21
2020/3/8,0,21
2020/3/9,0,21
2020/3/10,0,21
2020/3/11,0,21
2020/3/12,0,21
2020/3/13,2,23
2020/3/14,0,23
2020/3/15,0,23
2020/3/16,0,23
2020/3/17,0,23
2020/3/18,0,23
2020/3/19,3,26
2020/3/20,0,26
2020/3/21,0,26
2020/3/22,62,88
2020/3/23,0,88
2020/3/24,27,115
2020/3/25,4,119
2020/3/26,53,172
2020/3/27,22,194
2020/3/28,50,244
2020/3/29,0,244
2020/3/30,13,257
2020/3/31,101,358
2020/4/1,64,422
2020/4/2,98,520
2020/4/3,129,649
2020/4/4,52,701
2020/4/5,56,757
2020/4/6,323,1080
2020/4/7,0,1080
2020/4/8,0,1080
2020/4/9,392,1472
2020/4/10,321,1793
2020/4/11,13,1806
2020/4/12,0,1806
2020/4/13,0,1806
2020/4/14,380,2186
2020/4/15,0,2186
2020/4/16,169,2355
2020/4/17,1453,3808
2020/4/18,316,4124
2020/4/19,0,4124
2020/4/20,167,4291
2020/4/21,404,4695
2020/4/22,237,4932
2020/4/23,115,5047
2020/4/24,89,5136
2020/4/25,240,5376
2020/4/26,165,5541
2020/4/27,47,5588
2020/4/28,77,5665
2020/4/29,50,5715
2020/4/30,27,5742
2020/5/1,33,5775
2020/5/2,39,5814
2020/5/3,35,5849
2020/5/4,38,5887
2020/5/5,88,5975
2020/5/6,56,6031
2020/5/7,47,6078
2020/5/8,44,6122
2020/5/9,19,6141
2020/5/10,26,6167
2020/5/11,46,6213
2020/5/12,57,6270
2020/5/13,27,6297
2020/5/14,37,6334
2020/5/15,25,6359
2020/5/16,5,6364
2020/5/17,28,6392
2020/5/18,21,6413
2020/5/19,18,6431
2020/5/20,39,6470
2020/5/21,8,6478
2020/5/22,7,6485
2020/5/23,23,6508
2020/5/24,23,6531
2020/5/25,21,6552
2020/5/26,8,6560
2020/5/27,19,6579
2020/5/28,-3,6576
2020/5/29,29,6605
2020/5/30,9,6614
2020/5/31,4,6618
2020/6/1,8,6626
2020/6/2,10,6636
2020/6/3,12,6648
2020/6/4,35,6683
2020/6/5,5,6688
2020/6/6,15,6703
2020/6/7,3,6706
2020/6/8,14,6720
2020/6/9,20,6740
2020/6/10,19,6759
2020/6/11,23,6782
2020/6/12,21,6803
2020/6/13,35,6838
2020/6/14,13,6851
2020/6/15,5,6856
2020/6/16,5,6861
2020/6/17,16,6877
2020/6/18,1,6878
2020/6/19,3,6881
2020/6/20,15,6896
2020/6/21,7,6903
2020/6/22,12,6915
2020/6/23,9,6924
2020/6/24,7,6931
2020/6/25,27,6958
2020/6/26,2,6960
2020/6/27,33,6993
2020/6/28,14,7007
2020/6/29,30,7037
2020/6/30,3,7040
2020/7/1,50,7090
2020/7/2,40,7130
2020/7/3,189,7319
2020/7/4,80,7399
2020/7/5,21,7420
2020/7/6,35,7455
2020/7/7,32,7487
2020/7/8,86,7573
2020/7/9,3,7576
2020/7/10,157,7733
2020/7/11,-6,7727
2020/7/12,42,7769
2020/7/13,66,7835
2020/7/14,93,7928
2020/7/15,107,8035
2020/7/16,79,8114
2020/7/17,48,8162
2020/7/18,112,8274
2020/7/19,121,8395
2020/7/20,3,8398
2020/7/21,147,8545
2020/7/22,225,8770
2020/7/23,5,8775
2020/7/24,163,8938
2020/7/25,81,9019
2020/7/26,155,9174
2020/7/27,137,9311
2020/7/28,306,9617
2020/7/29,2,9619
2020/7/30,140,9759
2020/7/31,224,9983
2020/8/1,-2770,7213
2020/8/2,418,7631
2020/8/3,0,7631
2020/8/4,174,7805
2020/8/5,142,7947
2020/8/6,178,8125
2020/8/7,441,8566
2020/8/8,314,8880
2020/8/9,2,8882
2020/8/10,268,9150
2020/8/11,251,9401
2020/8/12,384,9785
2020/8/13,222,10007
2020/8/14,631,10638
2020/8/15,3,10641
2020/8/16,450,11091
2020/8/17,453,11544
2020/8/18,391,11935
2020/8/19,319,12254
2020/8/20,2606,14860
2020/8/21,606,15466
2020/8/22,300,15766
2020/8/23,473,16239
2020/8/24,370,16609
2020/8/25,497,17106
2020/8/26,1,17107
2020/8/27,266,17373
2020/8/28,266,17639
2020/8/29,227,17866
2020/8/30,256,18122
2020/8/31,234,18356
2020/9/1,339,18695
2020/9/2,3,18698
2020/9/3,222,18920
2020/9/4,258,19178
2020/9/5,158,19336
2020/9/6,137,19473
2020/9/7,137,19610
2020/9/8,121,19731
2020/9/9,138,19869
2020/9/10,176,20045
2020/9/11,290,20335
2020/9/12,11,20346
2020/9/13,125,20471
2020/9/14,114,20585
2020/9/15,73,20658
2020/9/16,140,20798
2020/9/17,62,20860
2020/9/18,7,20867
2020/9/19,107,20974
2020/9/20,95,21069
2020/9/21,94,21163
2020/9/22,61,21224
2020/9/23,111,21335
2020/9/24,72,21407
2020/9/25,0,21407
2020/9/26,49,21456
2020/9/27,59,21515
2020/9/28,43,21558
2020/9/29,65,21623
2020/9/30,32,21655
2020/10/1,4,21659
2020/10/2,60,21719
2020/10/3,16,21735
2020/10/4,24,21759
2020/10/5,2,21761
2020/10/6,25,21786
2020/10/7,20,21806
2020/10/8,33,21839
2020/10/9,16,21855
2020/10/10,0,21855
2020/10/11,11,21866
2020/10/12,29,21895
2020/10/13,11,21906
2020/10/14,1,21907
2020/10/15,13,21920
2020/10/16,35,21955
2020/10/17,1,21956
2020/10/18,10,21966
2020/10/19,4,21970
2020/10/20,14,21984
2020/10/21,23,22007
2020/10/22,11,22018
2020/10/23,10,22028
2020/10/24,6,22034
2020/10/25,17,22051
2020/10/26,14,22065
2020/10/27,7,22072
2020/10/28,12,22084
2020/10/29,7,22091
2020/10/30,82,22173
2020/10/31,15,22188
2020/11/1,16,22204
2020/11/2,32,22236
2020/11/3,21,22257
2020/11/4,10,22267
2020/11/5,7,22274
2020/11/6,13,22287
2020/11/7,8,22295
2020/11/8,0,22295
2020/11/9,3,22298
2020/11/10,0,22298
2020/11/11,1,22299
2020/11/12,4,22303
2020/11/13,4,22307
