date,recovered_cases,cumulative_recovered
2020/1/22,0,0
2020/1/23,0,0
2020/1/24,0,0
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,0,0
2020/3/2,0,0
2020/3/3,0,0
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/3/10,0,0
2020/3/11,0,0
2020/3/12,0,0
2020/3/13,0,0
2020/3/14,0,0
2020/3/15,0,0
2020/3/16,1,1
2020/3/17,1,2
2020/3/18,0,2
2020/3/19,0,2
2020/3/20,0,2
2020/3/21,0,2
2020/3/22,0,2
2020/3/23,0,2
2020/3/24,0,2
2020/3/25,0,2
2020/3/26,4,6
2020/3/27,0,6
2020/3/28,0,6
2020/3/29,0,6
2020/3/30,114,120
2020/3/31,7,127
2020/4/1,0,127
2020/4/2,0,127
2020/4/3,0,127
2020/4/4,0,127
2020/4/5,0,127
2020/4/6,0,127
2020/4/7,0,127
2020/4/8,0,127
2020/4/9,46,173
2020/4/10,0,173
2020/4/11,0,173
2020/4/12,0,173
2020/4/13,0,173
2020/4/14,2873,3046
2020/4/15,10980,14026
2020/4/16,0,14026
2020/4/17,0,14026
2020/4/18,0,14026
2020/4/19,8104,22130
2020/4/20,0,22130
2020/4/21,861,22991
2020/4/22,2327,25318
2020/4/23,1255,26573
2020/4/24,1082,27655
2020/4/25,1505,29160
2020/4/26,992,30152
2020/4/27,990,31142
2020/4/28,1402,32544
2020/4/29,1588,34132
2020/4/30,1803,35935
2020/5/1,2104,38039
2020/5/2,2898,40937
2020/5/3,2054,42991
2020/5/4,2824,45815
2020/5/5,2406,48221
2020/5/6,3149,51370
2020/5/7,3980,55350
2020/5/8,3947,59297
2020/5/9,2388,61685
2020/5/10,3272,64957
2020/5/11,2427,67384
2020/5/12,5213,72597
2020/5/13,5827,78424
2020/5/14,1055,79479
2020/5/15,5491,84970
2020/5/16,4702,89672
2020/5/17,4450,94122
2020/5/18,6337,100459
2020/5/19,6335,106794
2020/5/20,9889,116683
2020/5/21,9277,125960
2020/5/22,9470,135430
2020/5/23,7157,142587
2020/5/24,7324,149911
2020/5/25,3922,153833
2020/5/26,4760,158593
2020/5/27,8054,166647
2020/5/28,10957,177604
2020/5/29,11872,189476
2020/5/30,11416,200892
2020/5/31,5663,206555
2020/6/1,4525,211080
2020/6/2,12558,223638
2020/6/3,14979,238617
2020/6/4,16346,254963
2020/6/5,11977,266940
2020/6/6,10209,277149
2020/6/7,6803,283952
2020/6/8,94305,378257
2020/6/9,18480,396737
2020/6/10,17179,413916
2020/6/11,16049,429965
2020/6/12,15158,445123
2020/6/13,14313,459436
2020/6/14,9705,469141
2020/6/15,8568,477709
2020/6/16,12296,490005
2020/6/17,31041,521046
2020/6/18,13534,534580
2020/6/19,17051,551631
2020/6/20,25148,576779
2020/6/21,11339,588118
2020/6/22,13618,601736
2020/6/23,26227,627963
2020/6/24,32506,660469
2020/6/25,19055,679524
2020/6/26,22875,702399
2020/6/27,25316,727715
2020/6/28,18303,746018
2020/6/29,11793,757811
2020/6/30,30507,788318
2020/7/1,29324,817642
2020/7/2,140050,957692
2020/7/3,26923,984615
2020/7/4,6116,990731
2020/7/5,38314,1029045
2020/7/6,33497,1062542
2020/7/7,44470,1107012
2020/7/8,32832,1139844
2020/7/9,31603,1171447
2020/7/10,45914,1217361
2020/7/11,26727,1244088
2020/7/12,20755,1264843
2020/7/13,26408,1291251
2020/7/14,32174,1323425
2020/7/15,26673,1350098
2020/7/16,47433,1397531
2020/7/17,30989,1428520
2020/7/18,18888,1447408
2020/7/19,11664,1459072
2020/7/20,55228,1514300
2020/7/21,41039,1555339
2020/7/22,36636,1591975
2020/7/23,28338,1620313
2020/7/24,72901,1693214
2020/7/25,92145,1785359
2020/7/26,27554,1812913
2020/7/27,33728,1846641
2020/7/28,22108,1868749
2020/7/29,54053,1922802
2020/7/30,34005,1956807
2020/7/31,52047,2008854
2020/8/1,29128,2037982
2020/8/2,24894,2062876
2020/8/3,36100,2098976
2020/8/4,58508,2157484
2020/8/5,32877,2190361
2020/8/6,40181,2230542
2020/8/7,41757,2272299
2020/8/8,49238,2321537
2020/8/9,35446,2356983
2020/8/10,33847,2390830
2020/8/11,58508,2449338
2020/8/12,56890,2506228
2020/8/13,14872,2521100
2020/8/14,95881,2616981
2020/8/15,5897,2622878
2020/8/16,32139,2655017
2020/8/17,44063,2699080
2020/8/18,52166,2751246
2020/8/19,50685,2801931
2020/8/20,42387,2844318
2020/8/21,11240,2855558
2020/8/22,58408,2913966
2020/8/23,33818,2947784
2020/8/24,28472,2976256
2020/8/25,56295,3032551
2020/8/26,49896,3082447
2020/8/27,40399,3122846
2020/8/28,35937,3158783
2020/8/29,43402,3202185
2020/8/30,35430,3237615
2020/8/31,30976,3268591
2020/9/1,76649,3345240
2020/9/2,42069,3387309
2020/9/3,42126,3429435
2020/9/4,34843,3464278
2020/9/5,34721,3498999
2020/9/6,23156,3522155
2020/9/7,27046,3549201
2020/9/8,23220,3572421
2020/9/9,39211,3611632
2020/9/10,46069,3657701
2020/9/11,37457,3695158
2020/9/12,28048,3723206
2020/9/13,0,3723206
2020/9/14,46932,3770138
2020/9/15,41367,3811505
2020/9/16,33959,3845464
2020/9/17,28470,3873934
2020/9/18,23605,3897539
2020/9/19,39354,3936893
2020/9/20,26553,3963446
2020/9/21,29986,3993432
2020/9/22,23399,4016831
2020/9/23,29996,4046827
2020/9/24,56127,4102954
2020/9/25,25536,4128490
2020/9/26,24817,4153307
2020/9/27,19404,4172711
2020/9/28,24661,4197372
2020/9/29,39780,4237152
2020/9/30,37622,4274774
2020/10/1,24885,4299659
2020/10/2,0,4299659
2020/10/3,61449,4361108
2020/10/4,14246,4375354
2020/10/5,22528,4397882
2020/10/6,32458,4430340
2020/10/7,26832,4457172
2020/10/8,30920,4488092
2020/10/9,14762,4502854
2020/10/10,0,4502854
2020/10/11,23539,4526393
2020/10/12,0,4526393
2020/10/13,0,4526393
2020/10/14,0,4526393
2020/10/15,0,4526393
2020/10/16,0,4526393
2020/10/17,0,4526393
2020/10/18,0,4526393
2020/10/19,0,4526393
2020/10/20,0,4526393
2020/10/21,0,4526393
2020/10/22,0,4526393
