date_active,recovered_cases,cumulative_recovered
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,1,1
2020/2/13,0,1
2020/2/14,0,1
2020/2/15,0,1
2020/2/16,0,1
2020/2/17,0,1
2020/2/18,0,1
2020/2/19,1,2
2020/2/20,1,3
2020/2/21,1,4
2020/2/22,0,4
2020/2/23,0,4
2020/2/24,0,4
2020/2/25,3,7
2020/2/26,0,7
2020/2/27,0,7
2020/2/28,0,7
2020/2/29,0,7
2020/3/1,0,7
2020/3/2,0,7
2020/3/3,0,7
2020/3/4,0,7
2020/3/5,1,8
2020/3/6,0,8
2020/3/7,0,8
2020/3/8,0,8
2020/3/9,1,9
2020/3/10,0,9
2020/3/11,0,9
2020/3/12,0,9
2020/3/13,1,10
2020/3/14,0,10
2020/3/15,0,10
2020/3/16,0,10
2020/3/17,0,10
2020/3/18,1,11
2020/3/19,2,13
2020/3/20,2,15
2020/3/21,1,16
2020/3/22,2,18
2020/3/23,94,112
2020/3/24,74,186
2020/3/25,12,198
2020/3/26,31,229
2020/3/27,127,356
2020/3/28,149,505
2020/3/29,84,589
2020/3/30,533,1122
2020/3/31,184,1306
2020/4/1,370,1676
2020/4/2,305,1981
2020/4/3,354,2335
2020/4/4,413,2748
2020/4/5,365,3113
2020/4/6,516,3629
2020/4/7,434,4063
2020/4/8,603,4666
2020/4/9,658,5324
2020/4/10,702,6026
2020/4/11,637,6663
2020/4/12,522,7185
2020/4/13,586,7771
2020/4/14,477,8248
2020/4/15,744,8992
2020/4/16,733,9725
2020/4/17,831,10556
2020/4/18,664,11220
2020/4/19,636,11856
2020/4/20,743,12599
2020/4/21,602,13201
2020/4/22,798,13999
2020/4/23,775,14774
2020/4/24,780,15554
2020/4/25,884,16438
2020/4/26,896,17334
2020/4/27,947,18281
2020/4/28,963,19244
2020/4/29,1096,20340
2020/4/30,1097,21437
2020/5/1,1327,22764
2020/5/2,1050,23814
2020/5/3,1107,24921
2020/5/4,1109,26030
2020/5/5,976,27006
2020/5/6,1178,28184
2020/5/7,1076,29260
2020/5/8,979,30239
2020/5/9,1023,31262
2020/5/10,847,32109
2020/5/11,898,33007
2020/5/12,1048,34055
2020/5/13,1122,35177
2020/5/14,927,36104
2020/5/15,804,36908
2020/5/16,924,37832
2020/5/17,731,38563
2020/5/18,688,39251
2020/5/19,812,40063
2020/5/20,726,40789
2020/5/21,939,41728
2020/5/22,879,42607
2020/5/23,711,43318
2020/5/24,680,43998
2020/5/25,653,44651
2020/5/26,701,45352
2020/5/27,825,46177
2020/5/28,676,46853
2020/5/29,680,47533
2020/5/30,583,48116
2020/5/31,776,48892
2020/6/1,847,49739
2020/6/2,618,50357
2020/6/3,691,51048
2020/6/4,690,51738
2020/6/5,827,52565
2020/6/6,1044,53609
2020/6/7,619,54228
2020/6/8,600,54828
2020/6/9,739,55567
2020/6/10,1072,56639
2020/6/11,1019,57658
2020/6/12,865,58523
2020/6/13,830,59353
2020/6/14,919,60272
2020/6/15,770,61042
2020/6/16,401,61443
2020/6/17,574,62017
2020/6/18,479,62496
2020/6/19,507,63003
2020/6/20,485,63488
2020/6/21,398,63886
2020/6/22,448,64334
2020/6/23,370,64704
2020/6/24,387,65091
2020/6/25,334,65425
2020/6/26,301,65726
2020/6/27,247,65973
2020/6/28,218,66191
2020/6/29,987,67178
2020/6/30,414,67592
2020/7/1,152,67744
2020/7/2,603,68347
2020/7/3,346,68693
2020/7/4,297,68990
2020/7/5,249,69239
2020/7/6,331,69570
2020/7/7,313,69883
2020/7/8,364,70247
2020/7/9,327,70574
2020/7/10,327,70901
2020/7/11,365,71266
2020/7/12,201,71467
2020/7/13,374,71841
2020/7/14,329,72170
2020/7/15,315,72485
2020/7/16,351,72836
2020/7/17,23853,96689
2020/7/18,220,96909
2020/7/19,142,97051
2020/7/20,423,97474
2020/7/21,283,97757
2020/7/22,385,98142
2020/7/23,377,98519
