date,recovered_cases,cumulative_recovered
2020/1/23,2,30
2020/1/24,6,36
2020/1/25,3,39
2020/1/26,10,49
2020/1/27,9,58
2020/1/28,43,101
2020/1/29,19,120
2020/1/30,15,135
2020/1/31,79,214
2020/2/1,61,275
2020/2/2,188,463
2020/2/3,151,614
2020/2/4,229,843
2020/2/5,272,1115
2020/2/6,362,1477
2020/2/7,522,1999
2020/2/8,597,2596
2020/2/9,623,3219
2020/2/10,699,3918
2020/2/11,718,4636
2020/2/12,446,5082
2020/2/13,1135,6217
2020/2/14,1760,7977
2020/2/15,1321,9298
2020/2/16,1457,10755
2020/2/17,1707,12462
2020/2/18,1744,14206
2020/2/19,1756,15962
2020/2/20,2052,18014
2020/2/21,690,18704
2020/2/22,3995,22699
2020/2/23,488,23187
2020/2/24,1828,25015
2020/2/25,2661,27676
2020/2/26,2408,30084
2020/2/27,2846,32930
2020/2/28,3399,36329
2020/2/29,2991,39320
2020/3/1,2842,42162
2020/3/2,2692,44854
2020/3/3,2596,47450
2020/3/4,2551,50001
2020/3/5,2291,52292
2020/3/6,1652,53944
2020/3/7,1595,55539
2020/3/8,1849,57388
2020/3/9,1416,58804
2020/3/10,1377,60181
2020/3/11,1463,61644
2020/3/12,1257,62901
2020/3/13,1295,64196
2020/3/14,1464,65660
2020/3/15,1357,67017
2020/3/16,893,67910
2020/3/17,888,68798
2020/3/18,957,69755
2020/3/19,780,70535
2020/3/20,731,71266
2020/3/21,591,71857
2020/3/22,505,72362
2020/3/23,452,72814
2020/3/24,466,73280
2020/3/25,493,73773
2020/3/26,408,74181
2020/3/27,539,74720
2020/3/28,380,75100
2020/3/29,482,75582
2020/3/30,341,75923
2020/3/31,283,76206
2020/4/1,199,76405
2020/4/2,160,76565
2020/4/3,195,76760
2020/4/4,186,76946
2020/4/5,261,77207
2020/4/6,103,77310
2020/4/7,100,77410
2020/4/8,157,77567
2020/4/9,112,77679
2020/4/10,112,77791
2020/4/11,86,77877
2020/4/12,79,77956
2020/4/13,83,78039
2020/4/14,161,78200
2020/4/15,111,78311
2020/4/16,90,78401
2020/4/17,-849,77552
2020/4/18,62,77614
2020/4/19,76,77690
2020/4/20,55,77745
2020/4/21,54,77799
2020/4/22,62,77861
2020/4/23,122,77983
2020/4/24,126,78109
2020/4/25,66,78175
2020/4/26,102,78277
2020/4/27,97,78374
2020/4/28,48,78422
2020/4/29,52,78474
2020/4/30,49,78523
2020/5/1,50,78573
2020/5/2,13,78586
2020/5/3,98,78684
2020/5/4,108,78792
2020/5/5,78,78870
2020/5/6,59,78929
2020/5/7,48,78977
2020/5/8,16,78993
2020/5/9,134,79127
2020/5/10,40,79167
2020/5/11,31,79198
2020/5/12,24,79222
2020/5/13,24,79246
2020/5/14,15,79261
2020/5/15,20,79281
2020/5/16,12,79293
2020/5/17,13,79306
2020/5/18,4,79310
2020/5/19,0,79310
2020/5/20,0,79310
2020/5/21,0,79310
2020/5/22,22,79332
2020/5/23,3,79335
2020/5/24,8,79343
2020/5/25,9,79352
2020/5/26,6,79358
2020/5/27,9,79367
2020/5/28,4,79371
2020/5/29,11,79382
2020/5/30,4,79386
2020/5/31,3,79389
2020/6/1,9,79398
2020/6/2,2,79400
2020/6/3,4,79404
2020/6/4,11,79415
2020/6/5,5,79420
2020/6/6,4,79424
2020/6/7,10,79434
2020/6/8,10,79444
2020/6/9,7,79451
2020/6/10,5,79456
2020/6/11,8,79464
2020/6/12,8,79472
2020/6/13,3,79475
2020/6/14,7,79482
2020/6/15,7,79489
2020/6/16,4,79493
2020/6/17,17,79510
2020/6/18,5,79515
2020/6/19,0,79515
2020/6/20,19,79534
2020/6/21,1,79535
2020/6/22,12,79547
2020/6/23,8,79555
2020/6/24,7,79562
2020/6/25,10,79572
2020/6/26,8,79580
2020/6/27,11,79591
2020/6/28,18,79609
2020/6/29,10,79619
2020/6/30,13,79632
2020/7/1,18,79650
2020/7/2,15,79665
2020/7/3,15,79680
2020/7/4,26,79706
2020/7/5,12,79718
2020/7/6,7,79725
2020/7/7,29,79754
2020/7/8,48,79802
2020/7/9,0,79802
2020/7/10,0,79802
2020/7/11,74,79876
2020/7/12,31,79907
2020/7/13,0,79907
2020/7/14,60,79967
2020/7/15,38,80005
2020/7/16,33,80038
2020/7/17,26,80064
2020/7/18,28,80092
2020/7/19,45,80137
2020/7/20,25,80162
2020/7/21,42,80204
2020/7/22,40,80244
2020/7/23,53,80297
2020/7/24,44,80341
2020/7/25,68,80409
2020/7/26,50,80459
2020/7/27,7,80466
2020/7/28,51,80517
2020/7/29,77,80594
2020/7/30,86,80680
2020/7/31,107,80787
2020/8/1,120,80907
2020/8/2,111,81018
2020/8/3,95,81113
2020/8/4,121,81234
2020/8/5,183,81417
2020/8/6,175,81592
2020/8/7,196,81788
2020/8/8,181,81969
2020/8/9,156,82125
2020/8/10,122,82247
2020/8/11,193,82440
2020/8/12,193,82633
