date,recovered_cases,cumulative_recovered
2020/1/22,0,0
2020/1/23,0,0
2020/1/24,0,0
2020/1/25,0,0
2020/1/26,0,0
2020/1/27,0,0
2020/1/28,0,0
2020/1/29,0,0
2020/1/30,0,0
2020/1/31,0,0
2020/2/1,0,0
2020/2/2,0,0
2020/2/3,0,0
2020/2/4,0,0
2020/2/5,0,0
2020/2/6,0,0
2020/2/7,0,0
2020/2/8,0,0
2020/2/9,0,0
2020/2/10,0,0
2020/2/11,0,0
2020/2/12,0,0
2020/2/13,0,0
2020/2/14,0,0
2020/2/15,0,0
2020/2/16,0,0
2020/2/17,0,0
2020/2/18,0,0
2020/2/19,0,0
2020/2/20,0,0
2020/2/21,0,0
2020/2/22,0,0
2020/2/23,0,0
2020/2/24,0,0
2020/2/25,0,0
2020/2/26,0,0
2020/2/27,0,0
2020/2/28,0,0
2020/2/29,0,0
2020/3/1,0,0
2020/3/2,0,0
2020/3/3,0,0
2020/3/4,0,0
2020/3/5,0,0
2020/3/6,0,0
2020/3/7,0,0
2020/3/8,0,0
2020/3/9,0,0
2020/3/10,0,0
2020/3/11,0,0
2020/3/12,0,0
2020/3/13,0,0
2020/3/14,0,0
2020/3/15,0,0
2020/3/16,0,0
2020/3/17,0,0
2020/3/18,0,0
2020/3/19,0,0
2020/3/20,0,0
2020/3/21,0,0
2020/3/22,0,0
2020/3/23,0,0
2020/3/24,4,4
2020/3/25,8,12
2020/3/26,0,12
2020/3/27,19,31
2020/3/28,0,31
2020/3/29,0,31
2020/3/30,0,31
2020/3/31,0,31
2020/4/1,19,50
2020/4/2,0,50
2020/4/3,45,95
2020/4/4,0,95
2020/4/5,0,95
2020/4/6,0,95
2020/4/7,0,95
2020/4/8,0,95
2020/4/9,0,95
2020/4/10,315,410
2020/4/11,0,410
2020/4/12,0,410
2020/4/13,0,410
2020/4/14,0,410
2020/4/15,0,410
2020/4/16,493,903
2020/4/17,0,903
2020/4/18,0,903
2020/4/19,0,903
2020/4/20,152,1055
2020/4/21,0,1055
2020/4/22,0,1055
2020/4/23,418,1473
2020/4/24,0,1473
2020/4/25,0,1473
2020/4/26,0,1473
2020/4/27,0,1473
2020/4/28,600,2073
2020/4/29,0,2073
2020/4/30,0,2073
2020/5/1,309,2382
2020/5/2,167,2549
2020/5/3,0,2549
2020/5/4,197,2746
2020/5/5,0,2746
2020/5/6,407,3153
2020/5/7,0,3153
2020/5/8,0,3153
2020/5/9,830,3983
2020/5/10,190,4173
2020/5/11,184,4357
2020/5/12,0,4357
2020/5/13,388,4745
2020/5/14,931,5676
2020/5/15,407,6083
2020/5/16,395,6478
2020/5/17,528,7006
2020/5/18,292,7298
2020/5/19,662,7960
2020/5/20,990,8950
2020/5/21,0,8950
2020/5/22,1154,10104
2020/5/23,0,10104
2020/5/24,996,11100
2020/5/25,817,11917
2020/5/26,824,12741
2020/5/27,710,13451
2020/5/28,919,14370
2020/5/29,723,15093
2020/5/30,1023,16116
2020/5/31,693,16809
2020/6/1,482,17291
2020/6/2,1022,18313
2020/6/3,1369,19682
2020/6/4,1629,21311
2020/6/5,1777,23088
2020/6/6,1170,24258
2020/6/7,106,24364
2020/6/8,1735,26099
2020/6/9,2907,29006
2020/6/10,2499,31505
2020/6/11,1747,33252
2020/6/12,1754,35006
2020/6/13,1844,36850
2020/6/14,1681,38531
2020/6/15,1336,39867
2020/6/16,2196,42063
2020/6/17,2268,44331
2020/6/18,589,44920
2020/6/19,2905,47825
2020/6/20,2501,50326
2020/6/21,1282,51608
2020/6/22,1836,53444
2020/6/23,1601,55045
2020/6/24,1829,56874
2020/6/25,3100,59974
2020/6/26,4137,64111
2020/6/27,2983,67094
2020/6/28,1831,68925
2020/6/29,1689,70614
2020/6/30,2929,73543
2020/7/1,2482,76025
2020/7/2,5974,81999
2020/7/3,4299,86298
2020/7/4,4929,91227
2020/7/5,2088,93315
2020/7/6,4533,97848
2020/7/7,4451,102299
2020/7/8,4543,106842
2020/7/9,6219,113061
2020/7/10,5171,118232
2020/7/11,9483,127715
2020/7/12,7159,134874
2020/7/13,3367,138241
2020/7/14,8038,146279
2020/7/15,14414,160693
2020/7/16,4898,165591
2020/7/17,12592,178183
2020/7/18,4047,182230
2020/7/19,8829,191059
2020/7/20,3806,194865
2020/7/21,13279,208144
2020/7/22,21031,229175
2020/7/23,7085,236260
2020/7/24,9511,245771
2020/7/25,17283,263054
2020/7/26,2023,265077
2020/7/27,9848,274925
2020/7/28,12388,287313
2020/7/29,10654,297967
2020/7/30,11634,309601
2020/7/31,16570,326171
2020/8/1,16290,342461
2020/8/2,4766,347227
2020/8/3,10810,358037
2020/8/4,5714,363751
2020/8/5,13515,377266
2020/8/6,10050,387316
2020/8/7,7443,394759
2020/8/8,9809,404568
2020/8/9,6906,411474
2020/8/10,5726,417200
2020/8/11,8925,426125
2020/8/12,5904,432029
2020/8/13,5588,437617
2020/8/14,24117,461734
2020/8/15,5207,466941
2020/8/16,5436,472377
2020/8/17,5294,477671
2020/8/18,7797,485468
2020/8/19,5973,491441
2020/8/20,5728,497169
2020/8/21,2933,500102
2020/8/22,4025,504127
2020/8/23,2343,506470
2020/8/24,10024,516494
2020/8/25,3887,520381
2020/8/26,4861,525242
2020/8/27,6096,531338
2020/8/28,2597,533935
2020/8/29,2759,536694
2020/8/30,1910,538604
2020/8/31,2319,540923
2020/9/1,9070,549993
2020/9/2,3463,553456
2020/9/3,1431,554887
2020/9/4,2931,557818
2020/9/5,3386,561204
2020/9/6,2687,563891
2020/9/7,2664,566555
2020/9/8,1174,567729
2020/9/9,2206,569935
2020/9/10,3068,573003
2020/9/11,1584,574587
2020/9/12,1836,576423
2020/9/13,1483,577906
2020/9/14,1383,579289
2020/9/15,3837,583126
2020/9/16,1069,584195
2020/9/17,1108,585303
2020/9/18,1541,586844
2020/9/19,2590,589434
2020/9/20,637,590071
2020/9/21,1137,591208
2020/9/22,1696,592904
2020/9/23,1325,594229
2020/9/24,1687,595916
2020/9/25,3233,599149
2020/9/26,2669,601818
2020/9/27,1903,603721
2020/9/28,757,604478
2020/9/29,2042,606520
2020/9/30,1592,608112
2020/10/1,1472,609584
2020/10/2,1460,611044
2020/10/3,1719,612763
2020/10/4,2018,614781
2020/10/5,903,615684
2020/10/6,1173,616857
2020/10/7,1270,618127
2020/10/8,644,618771
2020/10/9,1310,620081
2020/10/10,2072,622153
2020/10/11,1612,623765
2020/10/12,894,624659
2020/10/13,915,625574
2020/10/14,1324,626898
2020/10/15,1403,628301
2020/10/16,959,629260
2020/10/17,1176,630436
2020/10/18,4107,634543
2020/10/19,714,635257
2020/10/20,4311,639568
2020/10/21,2138,641706
2020/10/22,854,642560
2020/10/23,963,643523
2020/10/24,1118,644641
2020/10/25,1529,646170
2020/10/26,551,646721
2020/10/27,1112,647833
2020/10/28,821,648654
2020/10/29,1281,649935
2020/10/30,3117,653052
2020/10/31,1130,654182
2020/11/1,1148,655330
2020/11/2,2170,657500
2020/11/3,1759,659259
