date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021/2/15,0,0,0
2021/2/16,0,0,0
2021/2/17,0,0,0
2021/2/18,0,0,0
2021/2/19,0,0,0
2021/2/20,0,0,0
2021/2/21,0,0,0
2021/2/22,20,20,0
2021/2/23,2879,2879,0
2021/2/24,6908,6908,0
2021/2/25,17500,17500,0
2021/2/26,25000,25000,0
2021/2/27,30000,30000,0
2021/2/28,31894,31894,0
2021/3/1,33702,33702,0
2021/3/2,41907,41907,0
2021/3/3,50840,50840,0
2021/3/4,61008,61008,0
2021/3/5,71867,71867,0
2021/3/6,76940,76940,0
2021/3/7,81345,81345,0
2021/3/8,86369,86369,0
2021/3/9,94908,94908,0
2021/3/10,106200,106200,0
2021/3/11,125000,125000,0
2021/3/12,135103,135103,0
2021/3/13,159294,159294,0
2021/3/14,162551,162551,0
2021/3/15,164781,,
2021/3/16,182437,,
2021/3/17,203557,,
2021/3/18,226057,,
2021/3/19,240754,,
2021/3/20,253831,,
2021/3/21,257019,,
2021/3/22,282184,,
2021/3/23,307525,,
2021/3/24,355254,,
2021/3/25,408410,,
2021/3/26,460155,,
2021/3/27,506465,,
2021/3/28,511520,,
2021/3/29,541761,,
2021/3/30,597523,,
2021/3/31,670349,,
2021/4/1,744328,,
2021/4/2,823611,,
2021/4/3,828416,,
2021/4/4,843182,,
2021/4/5,844309,,
2021/4/6,854983,,
2021/4/7,920334,,
2021/4/8,996145,,
2021/4/9,1077511,,
2021/4/10,1138866,,
2021/4/11,1166568,,
2021/4/12,1178302,,
2021/4/13,1234681,,
2021/4/14,1295672,,
2021/4/15,1359665,,
2021/4/16,1420577,,
2021/4/17,1474558,,
2021/4/18,1496912,,
2021/4/19,1586556,,
2021/4/20,1653286,,
2021/4/21,1718107,,
2021/4/22,1785338,,
2021/4/23,1855601,,
2021/4/24,1914047,,
2021/4/25,1934077,,
2021/4/26,1937485,,
2021/4/27,1969337,,
2021/4/28,2029544,,
2021/4/29,2112285,,
2021/4/30,2179544,,
2021/5/1,2234844,,
2021/5/2,2254074,,
2021/5/3,2260615,,
2021/5/4,2316969,,
2021/5/5,2396314,,
2021/5/6,2473529,,
2021/5/7,2554531,,
2021/5/8,2627725,,
2021/5/9,2654338,,
2021/5/10,2663221,,
2021/5/11,2736107,,
2021/5/12,2812486,,
2021/5/13,2894770,,
2021/5/14,2978265,,
2021/5/15,3056797,,
2021/5/16,3089184,,
2021/5/17,3100137,,
2021/5/18,3183324,,
2021/5/19,3278854,,
2021/5/20,3371728,,
2021/5/21,3472874,,
2021/5/22,3562495,,
2021/5/23,3599964,,
2021/5/24,3613053,3196760,416293
2021/5/25,3690622,3271385,419237
2021/5/26,3795280,3322398,472882
2021/5/27,3906668,3424987,481681
2021/5/28,4031539,3540220,491319
2021/5/29,4153149,3657125,496024
2021/5/30,4212899,3715078,497821
2021/5/31,4243600,3744363,499237
2021/6/1,4362739,3859771,502968
2021/6/2,4501444,3960813,540631
2021/6/3,4642703,4093811,548892
2021/6/4,4786362,4228887,557475
2021/6/5,4927607,4362791,564816
2021/6/6,5016352,4447862,568490
2021/6/7,5076413,4500429,575984
2021/6/8,5203977,4568861,635116
2021/6/9,5344862,4695288,649574
2021/6/10,5487670,4831188,656482
2021/6/11,5641008,4972011,668997
2021/6/12,5773924,5090527,683397
2021/6/13,5834746,5141504,693242
2021/6/14,5867299,5172427,694872
2021/6/15,5931245,5232353,698892
2021/6/16,6083320,5304987,778333
2021/6/17,6219330,5418764,800566
2021/6/18,6360666,5539659,821007
2021/6/22,6719384,5632040,1087344
2021/6/23,6860276,5745875,1114401
2021/6/24,6999198,5868407,1130791
2021/6/25,7137632,5967916,1169716
2021/6/29,7500700,6023340,1477360
2021/6/30,7645585,6144110,1501475
2021/7/2,7970153,6243880,1726273
2021/7/3,8121649,6313383,1808266
2021/7/4,8201367,6345621,1855746
2021/7/5,8255473,6377852,1877621
2021/7/6,8402191,6457966,1944225
2021/7/7,8567666,6543731,2023935
2021/7/8,8706799,6607324,2099475
2021/7/9,8871572,6691028,2180544
2021/7/10,9014072,6759474,2254598
2021/7/11,9097969,6794122,2303847
2021/7/12,9149817,6824096,2325721
2021/7/13,9304026,6903254,2400772
2021/7/14,9469145,6982861,2486284
2021/7/15,9631807,7053193,2578614
2021/7/16,9806809,7136864,2669945
2021/7/17,9970746,7217235,2753511
2021/7/18,10067446,7265578,2801868
2021/7/19,10125533,7297274,2828259
2021/7/20,10295444,7388641,2906803
2021/7/21,10470033,7475337,2994696
2021/7/22,10654563,7564430,3090133
2021/7/23,10850993,7667567,3183426
2021/7/24,11032835,7760871,3271964
2021/7/25,11140511,7813298,3327213
