date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2021/1/16,0,0,
2021/1/17,112,112,
2021/1/18,1109,1109,
2021/1/19,11470,11470,
2021/1/20,28543,28543,
2021/1/21,136519,136519,
2021/1/22,245877,245877,
2021/1/23,537774,537774,
2021/1/24,604722,604722,
2021/1/25,700608,700608,
2021/1/26,848883,848883,
2021/1/27,1129885,1129885,
2021/1/28,1450900,1450900,
2021/1/29,1668032,1656851,
2021/1/30,2003211,1923813,
2021/1/31,2074059,2046523,
2021/2/1,2124307,2107624,
2021/2/2,2292551,2292551,
2021/2/3,2521704,2521704,
2021/2/4,3073057,3073057,
2021/2/5,3074906,3074906,
2021/2/6,3401383,3399421,1962
2021/2/7,3553681,3534004,19677
2021/2/8,3605538,3579850,25688
2021/2/9,3820207,3786591,33616
2021/2/10,4120332,4069677,50655
2021/2/11,4406835,4326075,80760
2021/2/12,4696136,4586270,109866
2021/2/13,5125206,4946738,178468
2021/2/14,5236943,5042713,194230
2021/2/15,5293979,5076110,217869
2021/2/16,5609937,5324317,285620
2021/2/17,5883539,5326007,557532
2021/2/18,6206680,5482925,723755
2021/2/19,6535156,5640483,894673
2021/2/20,6813168,5756361,1056807
2021/2/21,6950802,5817908,1132894
2021/2/22,7028356,5857080,1171276
2021/2/23,7297061,6002873,1294188
2021/2/24,7551676,6116082,1435594
2021/2/25,7799000,6202055,1596945
2021/2/26,8101787,6346769,1755018
2021/2/27,8322042,6437836,1884206
2021/2/28,8433568,6518628,1914940
2021/3/1,8465403,6542206,1923197
2021/3/2,8841027,6806293,2034734
2021/3/3,9277322,7114219,2163103
2021/3/4,9739676,7417852,2321824
2021/3/5,10169160,7701146,2468014
2021/3/10,10362487,7851531,2510956
2021/3/11,10740859,8092244,2648615
2021/3/12,11149530,8360366,2789164
2021/3/13,11362190,8512960,2849230
2021/3/14,11422666,8561847,2860819
2021/3/15,11895560,8919356,2976204
2021/3/17,12682290,9451188,3231102
2021/3/18,13013331,9709526,3303805
2021/3/19,13335728,9970231,3365497
2021/3/20,13479165,10099070,3380095
2021/3/21,13562176,10168973,3393203
2021/3/22,14116560,10609471,3507089
2021/3/23,15209201,11559487,3649714
2021/3/24,15943964,12148769,3795195
2021/3/25,16557071,12639545,3917526
2021/3/26,17032868,13053114,3979754
2021/3/27,17519083,13487207,4031876
2021/3/28,17706983,13659406,4047577
2021/3/29,18082153,13988029,4094124
2021/3/30,18222559,14112509,4110050
2021/3/31,19155981,14921376,4234605
2021/4/2,20632877,16099532,4533345
2021/4/3,20956770,16377083,4579687
2021/4/4,21070128,16472281,4597847
2021/4/5,21960953,17128933,4832020
2021/4/6,22850791,17791338,5059453
2021/4/7,24197996,18859274,5338722
2021/4/8,24981199,19386057,5595142
2021/4/9,25735314,19886870,5848444
2021/4/10,26548845,20513828,6035017
2021/4/11,26741261,20654434,6086827
2021/4/12,27432994,21080623,6352371
2021/4/13,30801723,23602070,7199653
2021/4/14,31703967,24197321,7506646
2021/4/18,32947066,24350046,8597020
2021/4/19,33755229,24776701,8978528
2021/4/20,33807132,24805515,9001617
2021/4/21,34058640,24918188,9140452
2021/4/22,35024957,25340967,9683990
2021/4/23,37112833,26398005,10714828
2021/4/24,37730651,26687711,11042940
2021/4/25,38027113,26873143,11153970
2021/4/26,38986878,27345796,11641082
2021/4/27,40168799,27920546,12248253
2021/4/28,41003659,28312000,12691659
2021/4/29,41989957,28778338,13211619
2021/4/30,42698862,29149512,13549350
2021/5/1,43036179,29336953,13699226
2021/5/2,43173356,29421191,13752165
2021/5/3,43962159,29865013,14097146
2021/5/4,45273825,30658945,14614880
2021/5/5,46185689,31265483,14920206
2021/5/6,46542392,31504414,15037978
2021/5/7,46875460,31722544,15152916
2021/5/10,47365348,32101075,15264273
2021/5/11,48193472,32647725,15545747
2021/5/12,49188608,33332789,15855819
2021/5/13,50308106,34092728,16215378
2021/5/14,52093242,35383566,16709676
2021/5/15,52641583,35731848,16909735
2021/5/16,52771668,35801333,16970335
2021/5/17,53624328,36355939,17268389
2021/5/18,54332240,36844286,17487954
2021/5/19,55098913,37376193,17722720
2021/5/20,55960152,37937840,18022312
2021/5/25,63740557,42702699,21037858
2021/5/26,64568609,43239648,21328961
2021/5/27,65268576,43727936,21540640
2021/5/28,66432341,44564785,21867556
