date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020/12/15,1500000,,
2020/12/31,4500000,,
2021/1/9,9000000,,
2021/1/13,10000000,,
2021/1/20,15000000,,
2021/1/27,22767000,,
2021/1/31,24000000,,
2021/2/3,31200000,,
2021/2/9,40520000,,
2021/2/28,52520000,,
2021/3/14,64980000,,
2021/3/20,74956000,,
2021/3/22,80460000,,
2021/3/23,82846000,,
2021/3/24,85859700,,
2021/3/25,91346000,,
2021/3/26,97470000,,
2021/3/27,102417000,,
2021/3/28,106613000,,
2021/3/29,110962000,,
2021/3/30,114690000,,
2021/3/31,119821000,,
2021/4/1,126616000,,
2021/4/2,133801000,,
2021/4/3,136677000,,
2021/4/4,139970000,,
2021/4/5,142802000,,
2021/4/6,145920000,,
2021/4/7,149071000,,
2021/4/8,155150000,,
2021/4/9,161121000,,
2021/4/10,164471000,,
2021/4/11,167343000,,
2021/4/12,171928000,,
2021/4/13,175623000,,
2021/4/14,179216000,,
2021/4/15,183536000,,
2021/4/16,187360000,,
2021/4/17,189809000,,
2021/4/18,192127000,,
2021/4/19,195022000,,
2021/4/20,198950000,,
2021/4/21,204191000,,
2021/4/22,211223000,,
2021/4/23,216084000,,
2021/4/24,220309000,,
2021/4/25,224901000,,
2021/4/26,229489000,,
2021/4/27,235976000,,
2021/4/28,243905000,,
2021/4/29,253463000,,
2021/4/30,265064000,,
2021/5/1,270406000,,
2021/5/2,275338000,,
2021/5/3,279905000,,
2021/5/4,284595000,,
2021/5/5,289627000,,
2021/5/6,297734000,,
2021/5/7,308226000,,
2021/5/8,317586000,,
2021/5/9,324307000,,
2021/5/10,332964000,,
2021/5/11,342697000,,
2021/5/12,354272000,,
2021/5/13,366910000,,
2021/5/14,380633000,,
2021/5/15,392987000,,
2021/5/16,406938000,,
2021/5/17,421991000,,
2021/5/18,435689000,,
2021/5/19,449511000,,
2021/5/20,466698000,,
2021/5/21,483343000,,
2021/5/22,497272000,,
2021/5/23,510858000,,
2021/5/24,527253000,,
2021/5/25,546714000,,
2021/5/26,566723000,,
2021/5/27,584360000,,
2021/5/28,602991000,,
2021/5/29,620974000,,
2021/5/30,639172000,,
2021/5/31,661468000,,
2021/6/1,681908000,,
2021/6/2,704826000,,
2021/6/3,723486000,,
2021/6/4,744483000,,
2021/6/5,763065000,,
2021/6/6,777879000,,
2021/6/7,794134000,,
2021/6/8,808962000,,
2021/6/9,824856000,,
2021/6/10,845299000,622000000,223299000
2021/6/11,863513000,,
2021/6/12,878523000,,
2021/6/13,892770000,,
2021/6/14,904134000,,
2021/6/15,923910000,,
2021/6/16,945150000,,
2021/6/17,966652000,,
2021/6/18,990257000,,
2021/6/19,1010489000,,
2021/6/20,1029223000,,
2021/6/21,1049744000,,
2021/6/22,1071783000,,
2021/6/23,1095902000,,
2021/6/24,1120643000,,
2021/6/25,1143805000,,
2021/6/26,1165230000,,
2021/6/27,1185787000,,
2021/6/28,1206714000,,
2021/6/29,1225734000,,
2021/6/30,1244675000,,
2021/7/1,1264149000,,
2021/7/2,1283175000,,
2021/7/3,1296037000,,
2021/7/4,1305499000,,
2021/7/5,1318417000,,
2021/7/6,1331669000,,
2021/7/7,1342381000,,
2021/7/8,1354226000,,
2021/7/9,1365463000,,
2021/7/10,1374162000,,
2021/7/11,1382482000,,
2021/7/12,1391432000,,
2021/7/13,1402019000,,
2021/7/14,1414609000,,
2021/7/15,1426347000,,
2021/7/16,1437623000,,
2021/7/17,1447427000,,
2021/7/18,1456557000,,
2021/7/19,1467316000,,
2021/7/20,1478484000,,
2021/7/21,1491605000,,
2021/7/22,1507605000,,
2021/7/23,1524897000,,
2021/7/24,1538707000,,
2021/7/25,1550268000,,
