date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020/12/13,86465,86465,
2020/12/20,675286,675286,
2020/12/27,1005073,1005073,
2021/1/3,1380430,1380430,
2021/1/10,2677971,2286572,391399
2021/1/11,2843815,2431648,412167
2021/1/12,3067541,2639309,428232
2021/1/13,3356229,2918252,437977
2021/1/14,3678180,3234946,443234
2021/1/15,4023705,3576263,447442
2021/1/16,4322456,3872394,450062
2021/1/17,4514802,4062501,452301
2021/1/18,4723443,4266577,456866
2021/1/19,5070365,4609740,460625
2021/1/20,5437284,4973248,464036
2021/1/21,5849899,5383103,466796
2021/1/22,6329968,5861351,468617
2021/1/23,6822981,6353321,469660
2021/1/24,7044048,6573570,470478
2021/1/25,7325773,6853327,472446
2021/1/26,7638543,7164387,474156
2021/1/27,7953250,7476765,476485
2021/1/28,8369438,7891184,478254
2021/1/29,8859372,8378940,480432
2021/1/30,9468382,8977329,491053
2021/1/31,9790576,9296367,494209
2021/2/1,10143511,9646715,496796
2021/2/2,10520433,10021471,498962
2021/2/3,10992444,10490487,501957
2021/2/4,11477040,10971047,505993
2021/2/5,11975267,11465210,510057
2021/2/6,12526737,12015018,511719
2021/2/7,12806587,12294006,512581
2021/2/8,13162878,12646486,516392
2021/2/9,13577851,13058298,519553
2021/2/10,14033555,13509108,524447
2021/2/11,14542318,14012224,530094
2021/2/12,15091696,14556827,534869
2021/2/13,15599904,15062189,537715
2021/2/14,15839781,15300151,539630
2021/2/15,16122272,15576107,546165
2021/2/16,16499549,15940972,558577
2021/2/17,16996806,16423082,573724
2021/2/18,17465127,16875536,589591
2021/2/19,17852327,17247442,604885
2021/2/20,18197269,17582121,615148
2021/2/21,18348165,17723840,624325
2021/2/22,18558969,17916181,642788
2021/2/23,18911978,18242873,669105
2021/2/24,19392553,18691835,700718
2021/2/25,19913592,19177555,736037
2021/2/26,20450858,19682048,768810
2021/2/27,20885683,20089551,796132
2021/2/28,21091267,20275451,815816
2021/3/1,21322717,20478619,844098
2021/3/2,21599027,20703615,895412
2021/3/3,21946433,20982571,963862
2021/3/4,22392883,21358815,1034068
2021/3/5,22887118,21796278,1090840
2021/3/6,23335514,22213112,1122402
2021/3/7,23519898,22377255,1142643
2021/3/8,23773959,22592528,1181431
2021/3/9,24064182,22809829,1254353
2021/3/10,24405231,23053716,1351515
2021/3/11,24759603,23314525,1445078
2021/3/12,25216857,23684103,1532754
2021/3/13,25781120,24196211,1584909
2021/3/14,26063501,24453221,1610280
2021/3/15,26503552,24839906,1663646
2021/3/16,27032671,25273226,1759445
2021/3/17,27614526,25735472,1879054
2021/3/18,28274802,26263732,2011070
2021/3/19,29015457,26878662,2136795
2021/3/20,29859742,27630970,2228772
