date,total_vaccinations,people_vaccinated,people_fully_vaccinated
2020/12/20,556208,556208,
2020/12/21,614117,614117,
2020/12/23,1008025,1008025,
2020/12/26,1944585,1944585,
2020/12/28,2127143,2127143,
2020/12/30,2794588,2794588,
2021/1/2,4225756,4225756,
2021/1/4,4563260,4563260,
2021/1/5,4836469,4836469,
2021/1/6,5306797,5306797,
2021/1/7,5919418,5919418,
2021/1/8,6688231,6688231,
2021/1/11,8987322,8987322,
2021/1/12,9327138,9327138,
2021/1/13,10278462,,
2021/1/14,11148991,9690757,1342086
2021/1/15,12279180,10595866,1610524
2021/1/19,15707588,13595803,2023124
2021/1/20,16525281,14270441,2161419
2021/1/21,17546374,15053257,2394961
2021/1/22,19107959,16243093,2756953
2021/1/23,20537990,17390345,3027865
2021/1/24,21848655,18502131,3216836
2021/1/25,22734243,19252279,3346390
2021/1/26,23540994,19902237,3481921
2021/1/27,24652634,20687970,3801053
2021/1/28,26193682,21698606,4263056
2021/1/29,27884661,22858318,4780888
2021/1/30,29577902,24064165,5259693
2021/1/31,31123299,25201143,5657142
2021/2/1,32222402,26023153,5927847
2021/2/2,32780860,26440836,6064792
2021/2/3,33878254,27154956,6436931
2021/2/4,35203710,27905197,6926050
2021/2/5,36819212,28909497,7503864
2021/2/6,39037964,30250964,8317180
2021/2/7,41210937,31579100,9147185
2021/2/8,42417617,32340146,9518015
2021/2/9,43206190,32867213,9840429
2021/2/10,44769970,33783384,10469514
2021/2/11,46390270,34723964,11188782
2021/2/12,48410558,35834855,12085830
2021/2/13,50641884,37056122,13082172
2021/2/14,52884356,38292270,14077440
2021/2/16,55220364,39670551,15015434
2021/2/17,56281827,40268009,15471536
2021/2/18,57737767,41021049,16162358
2021/2/19,59585043,41977401,17039118
2021/2/20,61289500,42809595,17895667
2021/2/21,63090634,43628092,18865319
2021/2/22,64177474,44138118,19438495
2021/2/23,65032083,44544969,19882544
2021/2/24,66464947,45237143,20607261
2021/2/25,68274117,46074392,21555117
2021/2/26,70454064,47184199,22613359
2021/2/27,72806180,48435536,23698627
2021/2/28,75236003,49772180,24779920
2021/3/1,76899987,50732997,25466405
2021/3/2,78631601,51755447,26162122
2021/3/3,80540474,52855579,26957804
2021/3/4,82572848,54035670,27795980
2021/3/5,85008094,55547697,28701201
2021/3/6,87912323,57358849,29776160
2021/3/7,90351750,58873710,30686881
2021/3/8,92089852,60005231,31493040
2021/3/9,93692598,61088527,32102061
2021/3/10,95721290,62451150,32904161
2021/3/11,98203893,64071674,33863127
2021/3/12,101128005,65965305,35000159
2021/3/13,105703501,68884011,36929777
2021/3/14,107060274,69784210,37459269
2021/3/15,109081860,71054445,38335432
2021/3/16,110737856,72135616,39042345
2021/3/17,113037627,73669956,39989196
2021/3/18,115730008,75495716,40981464
2021/3/19,118313818,77230061,41934629
2021/3/20,121441497,79367225,43036818
2021/3/21,124481412,81415769,44141228
2021/3/22,126509736,82772416,44910946
2021/3/23,128217029,83930495,45533962
2021/3/24,130473853,85472166,46365515
2021/3/25,133305295,87343622,47419832
2021/3/26,136684688,89559225,48695172
2021/3/27,140180735,91707729,50141769
2021/3/28,143462691,93631163,51593564
2021/3/29,145812835,95015762,52614231
2021/3/30,147602345,96044046,53423486
2021/3/31,150273292,97593290,54607041
2021/4/1,153631404,99565311,56089614
2021/4/2,157606463,101804762,57984785
2021/4/3,161688422,104213478,59858146
2021/4/4,165053746,106214924,61416536
2021/4/5,167187795,107515428,62392065
2021/4/6,168592075,108301234,63016976
2021/4/7,171476655,109995734,64422618
2021/4/8,174879716,112046611,66203123
2021/4/9,178837781,114436039,68202458
2021/4/10,183467709,117142879,70692645
2021/4/11,187047131,119242902,72630892
2021/4/12,189692045,120848490,74066085
2021/4/13,192282781,122295530,75322283
2021/4/14,194791836,123917385,76681252
2021/4/15,198317040,125822868,78498290
2021/4/16,202282923,127743096,80609818
2021/4/17,205871913,129494179,82471151
2021/4/18,209406814,131247546,84263408
2021/4/19,211581309,132321628,85365180
2021/4/20,213388238,133266995,86223506
2021/4/21,215951909,134445595,87592646
2021/4/22,218947643,135791031,89245776
2021/4/23,222322230,137234889,91175995
2021/4/24,225640460,138644724,93078040
2021/4/25,228661408,139978480,94772329
2021/4/26,230768454,140969663,95888088
2021/4/27,232407669,141751857,96747454
2021/4/28,234639414,142692987,98044421
2021/4/29,237360493,143793565,99668945
2021/4/30,240159677,144894586,101407318
2021/5/1,243463471,146239208,103422555
2021/5/2,245591469,147047012,104774652
2021/5/3,246780203,147517734,105523520
2021/5/4,247769049,147894671,106168588
2021/5/5,249566820,148562891,107346533
2021/5/6,251973752,149462265,108926627
2021/5/7,254779333,150416559,110874920
2021/5/8,257347205,151315505,112626771
2021/5/9,259716989,152116936,114258244
2021/5/10,261599381,152819904,115530780
2021/5/11,263132561,153448316,116576359
2021/5/12,264680844,153986312,117647439
2021/5/13,266596486,154624231,118987308
2021/5/14,268438666,155251852,120258637
2021/5/15,270832342,156217367,121768268
